timeStamp,elapsed,label,success,Latency
1588019650912,60,Home,true,58
1588019650836,136,Home,true,131
1588019650836,136,Home,true,131
1588019650862,110,Home,true,105
1588019650964,72,Home,true,72
1588019651012,75,Home,true,75
1588019651063,97,Home,true,97
1588019651112,69,Home,true,69
1588019651164,68,Home,true,67
1588019651211,67,Home,true,66
1588019651311,259,Home,true,259
1588019651361,224,Home,true,207
1588019651261,324,Home,true,324
1588019651413,180,Home,true,180
1588019651461,143,Home,true,141
1588019650980,632,Login,true,551
1588019651089,533,Login,true,486
1588019651512,118,Home,true,118
1588019650980,660,Login,true,576
1588019651565,95,Home,true,95
1588019650980,708,Login,true,574
1588019650980,707,Login,true,563
1588019651612,95,Home,true,94
1588019651161,574,Login,true,434
1588019651665,72,Home,true,71
1588019651182,586,Login,true,405
1588019651037,735,Login,true,502
1588019651713,78,Home,true,78
1588019651232,604,Login,true,458
1588019651613,234,List Products,true,166
1588019651623,248,List Products,true,185
1588019651688,214,List Products,true,163
1588019651641,263,List Products,true,217
1588019651279,627,Login,true,549
1588019651736,211,List Products,true,150
1588019651773,180,List Products,true,119
1588019651770,238,List Products,true,165
1588019651688,343,List Products,true,273
1588019651906,231,List Products,true,185
1588019651571,576,Login,true,395
1588019651838,336,List Products,true,287
1588019651903,375,Look at Product,true,351
1588019651586,995,Login,true,380
1588019651594,987,Login,true,540
1588019651586,996,Login,true,543
1588019651875,728,Look at Product,true,706
1588019651605,1065,Login,true,976
1588019651661,1028,Login,true,920
1588019651793,1016,Login,true,801
1588019651631,1198,Login,true,950
1588019652148,743,List Products,true,695
1588019651707,1189,Login,true,874
1588019652032,867,Look at Product,true,844
1588019651904,1053,Look at Product,true,1028
1588019651738,1291,Login,true,877
1588019651850,1227,Look at Product,true,1200
1588019651949,1314,Look at Product,true,1294
1588019652583,713,List Products,true,666
1588019651955,1383,Look at Product,true,1363
1588019652672,742,List Products,true,666
1588019652583,901,List Products,true,857
1588019652691,843,List Products,true,793
1588019652830,735,List Products,true,689
1588019652896,713,List Products,true,650
1588019652583,1041,List Products,true,993
1588019652810,865,List Products,true,813
1588019653030,789,List Products,true,744
1588019652604,1242,Add Product to Cart,true,180
1588019652177,1737,Look at Product,true,1714
1588019652140,1851,Look at Product,true,1826
1588019652011,2057,Look at Product,true,2027
1588019652899,1349,Add Product to Cart,true,204
1588019652892,1376,Look at Product,true,1348
1588019652958,1316,Add Product to Cart,true,108
1588019652280,2002,Add Product to Cart,true,490
1588019653846,487,List Products with different page,true,414
1588019653339,1313,Add Product to Cart,true,174
1588019653077,1575,Add Product to Cart,true,182
1588019653536,1118,Look at Product,true,1092
1588019653297,1359,Look at Product,true,1332
1588019653415,1247,Look at Product,true,1214
1588019653567,1116,Look at Product,true,1062
1588019654275,516,List Products with different page,true,474
1588019653264,1562,Add Product to Cart,true,169
1588019653487,1352,Look at Product,true,1303
1588019653676,1163,Look at Product,true,1138
1588019654283,583,List Products with different page,true,516
1588019654249,625,List Products with different page,true,573
1588019653612,1294,Look at Product,true,1273
1588019653820,1190,Look at Product,true,1126
1588019653626,1395,Look at Product,true,1328
1588019653915,1177,Add Product to Cart,true,118
1588019654070,1040,Add Product to Cart,true,84
1588019654654,582,List Products with different page,true,534
1588019654654,624,List Products with different page,true,582
1588019654827,514,List Products with different page,true,469
1588019653992,1613,Add Product to Cart,true,137
1588019655112,558,List Products with different page,true,510
1588019655093,638,List Products with different page,true,594
1588019654268,1588,Add Product to Cart,true,114
1588019655606,267,List Products with different page,true,236
1588019654655,1238,Add Product to Cart,true,159
1588019654684,1258,Add Product to Cart,true,113
1588019654657,1302,Add Product to Cart,true,189
1588019654841,1191,Add Product to Cart,true,91
1588019654336,1708,Add Product 2 to Cart,true,292
1588019655022,1025,Add Product to Cart,true,55
1588019654664,1545,Add Product to Cart,true,112
1588019654870,1382,Add Product 2 to Cart,true,82
1588019654841,1447,Add Product to Cart,true,141
1588019656046,265,Logout,true,60
1588019655011,1346,Add Product to Cart,true,223
1588019654878,1504,Add Product 2 to Cart,true,148
1588019655944,530,List Products with different page,true,463
1588019655857,617,List Products with different page,true,590
1588019654795,1681,Add Product 2 to Cart,true,145
1588019656253,223,Logout,true,37
1588019656312,167,Home,true,167
1588019656382,166,Logout,true,45
1588019654906,1662,Add Product to Cart,true,262
1588019655894,686,List Products with different page,true,657
1588019656477,120,Home,true,120
1588019656033,572,List Products with different page,true,528
1588019656048,597,List Products with different page,true,530
1588019655960,721,List Products with different page,true,694
1588019655282,1438,Add Product 2 to Cart,true,133
1588019655239,1491,Add Product 2 to Cart,true,200
1588019656358,372,List Products with different page,true,308
1588019655344,1435,Add Product 2 to Cart,true,180
1588019656549,261,Home,true,261
1588019656477,361,Logout,true,54
1588019655747,1097,Add Product 2 to Cart,true,105
1588019656479,392,Login,true,270
1588019656209,670,List Products with different page,true,625
1588019656288,691,List Products with different page,true,626
1588019656721,272,Logout,true,92
1588019656845,149,Logout,true,67
1588019656780,245,Logout,true,32
1588019656839,195,Home,true,195
1588019656569,465,List Products with different page,true,420
1588019656731,310,Logout,true,75
1588019656995,82,Home,true,82
1588019656995,86,Home,true,86
1588019656597,538,Login,true,271
1588019657026,121,Home,true,120
1588019657043,115,Home,true,115
1588019655674,1530,Add Product 2 to Cart,true,85
1588019656872,340,List Products,true,293
1588019655875,1409,Add Product 2 to Cart,true,158
1588019657035,422,Login,true,224
1588019657205,255,Logout,true,62
1588019657285,214,Logout,true,32
1588019657137,418,List Products,true,353
1588019657461,130,Home,true,130
1588019657501,112,Home,true,112
1588019656811,852,Login,true,357
1588019657082,589,Login,true,268
1588019657078,622,Login,true,440
1588019657159,616,Login,true,396
1588019657148,640,Login,true,393
1588019656646,1146,Add Product 2 to Cart,true,50
1588019657458,406,List Products,true,349
1588019657592,491,Login,true,251
1588019657614,469,Login,true,225
1588019657794,295,Logout,true,39
1588019656475,1647,Add Product 2 to Cart,true,122
1588019656682,1468,Add Product 2 to Cart,true,105
1588019658090,87,Home,true,82
1588019656475,1719,Add Product 2 to Cart,true,154
1588019656606,1628,Add Product 2 to Cart,true,88
1588019656581,1689,Add Product 2 to Cart,true,124
1588019656731,1559,Add Product 2 to Cart,true,238
1588019658150,151,Logout,true,46
1588019657671,634,List Products,true,585
1588019657665,643,List Products,true,595
1588019658122,191,Logout,true,58
1588019658195,142,Logout,true,68
1588019657038,1324,Add Product 2 to Cart,true,180
1588019657777,620,List Products,true,574
1588019658235,185,Logout,true,60
1588019657790,632,List Products,true,583
1588019658314,112,Home,true,110
1588019658302,130,Home,true,130
1588019656880,1579,Add Product 2 to Cart,true,81
1588019658291,199,Logout,true,32
1588019658338,227,Home,true,227
1588019658271,328,Logout,true,49
1588019657700,910,List Products,true,863
1588019658363,252,Logout,true,39
1588019658083,544,List Products,true,476
1588019658177,459,Login,true,273
