"Series";"Time";"Value"
"Total apps memory used";"2020-05-04T15:16:35+02:00";9525874688
"Total apps memory used";"2020-05-04T15:16:40+02:00";9513250816
"Total apps memory used";"2020-05-04T15:16:45+02:00";9532538880
"Total apps memory used";"2020-05-04T15:16:50+02:00";9530101760
"Total apps memory used";"2020-05-04T15:16:55+02:00";9525678080
"Total apps memory used";"2020-05-04T15:17:00+02:00";9535647744
"Total apps memory used";"2020-05-04T15:17:05+02:00";9530126336
"Total apps memory used";"2020-05-04T15:17:10+02:00";9513824256
"Total apps memory used";"2020-05-04T15:17:15+02:00";9523732480
"Total apps memory used";"2020-05-04T15:17:20+02:00";9519927296
"Total apps memory used";"2020-05-04T15:17:25+02:00";9519169536
"Total apps memory used";"2020-05-04T15:17:30+02:00";9518395392
"Total apps memory used";"2020-05-04T15:17:35+02:00";9518428160
"Total apps memory used";"2020-05-04T15:17:40+02:00";9514876928
"Total apps memory used";"2020-05-04T15:17:45+02:00";9522200576
"Total apps memory used";"2020-05-04T15:17:50+02:00";9512132608
"Total apps memory used";"2020-05-04T15:17:55+02:00";9530368000
"Total apps memory used";"2020-05-04T15:18:00+02:00";9541685248
"Total apps memory used";"2020-05-04T15:18:05+02:00";9556561920
"Total apps memory used";"2020-05-04T15:18:10+02:00";9523429376
"Total apps memory used";"2020-05-04T15:18:15+02:00";9524936704
"Total apps memory used";"2020-05-04T15:18:20+02:00";9539526656
"Total apps memory used";"2020-05-04T15:18:25+02:00";9535311872
"Total apps memory used";"2020-05-04T15:18:30+02:00";9535840256
"Total apps memory used";"2020-05-04T15:18:35+02:00";9529122816
"Total apps memory used";"2020-05-04T15:18:40+02:00";9533755392
"Total apps memory used";"2020-05-04T15:18:45+02:00";9543016448
"Total apps memory used";"2020-05-04T15:18:50+02:00";9541464064
"Total apps memory used";"2020-05-04T15:18:55+02:00";9578577920
"Total apps memory used";"2020-05-04T15:19:00+02:00";9528659968
"Total apps memory used";"2020-05-04T15:19:05+02:00";9534431232
"Total apps memory used";"2020-05-04T15:19:10+02:00";9549205504
"Total apps memory used";"2020-05-04T15:19:15+02:00";9539248128
"Total apps memory used";"2020-05-04T15:19:20+02:00";9534418944
"Total apps memory used";"2020-05-04T15:19:25+02:00";9535913984
"Total apps memory used";"2020-05-04T15:19:30+02:00";9529565184
"Total apps memory used";"2020-05-04T15:19:35+02:00";9546764288
"Total apps memory used";"2020-05-04T15:19:40+02:00";9554124800
"Total apps memory used";"2020-05-04T15:19:45+02:00";9544204288
"Total apps memory used";"2020-05-04T15:19:50+02:00";9548828672
"Total apps memory used";"2020-05-04T15:19:55+02:00";9532661760
"Total apps memory used";"2020-05-04T15:20:00+02:00";9544327168
"Total apps memory used";"2020-05-04T15:20:05+02:00";9534754816
"Total apps memory used";"2020-05-04T15:20:10+02:00";9543610368
"Total apps memory used";"2020-05-04T15:20:15+02:00";9551462400
"Total apps memory used";"2020-05-04T15:20:20+02:00";9543016448
"Total apps memory used";"2020-05-04T15:20:25+02:00";9541255168
"Total apps memory used";"2020-05-04T15:20:30+02:00";9561083904
"Total apps memory used";"2020-05-04T15:20:35+02:00";9566498816
"Total apps memory used";"2020-05-04T15:20:40+02:00";9556553728
