timeStamp,elapsed,label,success,Latency
1588595245476,25,Home,true,21
1588595245427,74,Home,true,70
1588595245427,74,Home,true,70
1588595245508,37,Login,true,22
1588595245573,9,Home,true,9
1588595245580,21,Login,true,12
1588595245677,8,Home,true,8
1588595245676,21,Login,true,12
1588595245708,23,List Products,true,21
1588595245774,8,Home,true,8
1588595245773,21,Login,true,13
1588595245779,17,List Products,true,15
1588595245872,8,Home,true,8
1588595245875,16,List Products,true,16
1588595245876,19,Login,true,12
1588595245908,37,Look at Product,true,35
1588595245974,8,Home,true,8
1588595245973,20,Login,true,12
1588595245972,22,List Products,true,21
1588595245979,30,Look at Product,true,30
1588595246071,8,Home,true,8
1588595246072,20,Login,true,12
1588595246076,20,List Products,true,18
1588595246075,32,Look at Product,true,32
1588595246108,34,Add Product to Cart,true,8
1588595246171,12,Home,true,11
1588595246173,66,Login,true,13
1588595246173,71,List Products,true,71
1588595246172,81,Look at Product,true,80
1588595246180,78,Add Product to Cart,true,53
1588595246268,14,Home,true,14
1588595246270,23,Login,true,14
1588595246271,21,List Products,true,19
1588595246466,87,Home,true,87
1588595246363,191,Home,true,191
1588595246276,291,Add Product to Cart,true,5
1588595246370,198,Login,true,185
1588595246468,102,Login,true,89
1588595246379,196,List Products with different page,true,194
1588595246373,204,List Products,true,203
1588595246308,271,List Products with different page,true,268
1588595246276,306,Look at Product,true,303
1588595246565,19,Home,true,19
1588595246471,117,Look at Product,true,115
1588595246471,115,List Products,true,112
1588595246373,219,Look at Product,true,218
1588595246571,23,List Products,true,22
1588595246569,28,List Products with different page,true,25
1588595246562,38,Login,true,15
1588595246373,227,Add Product to Cart,true,178
1588595246579,39,Add Product 2 to Cart,true,9
1588595246579,39,Look at Product,true,39
1588595246582,39,Add Product 2 to Cart,true,8
1588595246601,21,List Products with different page,true,20
1588595246583,44,Add Product to Cart,true,9
1588595246594,42,Add Product to Cart,true,5
1588595246660,9,Home,true,9
1588595246665,20,Login,true,13
1588595246668,16,List Products,true,15
1588595246671,27,Add Product to Cart,true,5
1588595246670,31,Look at Product,true,30
1588595246760,9,Home,true,9
1588595246762,16,List Products,true,15
1588595246764,21,Login,true,13
1588595246779,11,Logout,true,4
1588595246782,12,Logout,true,4
1588595246772,26,Look at Product,true,25
1588595246771,29,Add Product 2 to Cart,true,5
1588595246784,18,List Products with different page,true,16
1588595246779,169,Add Product to Cart,true,6
1588595246859,94,Home,true,94
1588595246860,93,Login,true,14
1588595246794,168,List Products with different page,true,167
1588595246868,97,Look at Product,true,97
1588595246871,92,List Products with different page,true,90
1588595246866,105,List Products,true,104
1588595246870,109,Add Product to Cart,true,5
1588595246967,11,Home,true,11
1588595246801,182,Add Product 2 to Cart,true,6
1588595246964,23,List Products,true,22
1588595246960,41,Login,true,15
1588595246969,37,Logout,true,6
1588595247002,16,Logout,true,4
1588595246983,37,Home,true,37
1588595246979,41,Home,true,41
1588595246970,55,Add Product to Cart,true,6
1588595246963,65,Look at Product,true,62
1588595246979,58,List Products with different page,true,57
1588595246983,62,Add Product 2 to Cart,true,6
1588595246994,52,Add Product 2 to Cart,true,5
1588595247061,7,Home,true,7
1588595247061,18,List Products,true,17
1588595247070,24,List Products with different page,true,22
1588595247058,39,Login,true,13
1588595247066,35,Look at Product,true,34
1588595247068,37,Add Product to Cart,true,6
1588595247071,43,Add Product 2 to Cart,true,5
1588595247161,14,Home,true,14
1588595247171,10,Home,true,10
1588595247160,24,List Products,true,22
1588595247168,26,Login,true,19
1588595247183,15,Logout,true,3
1588595247170,28,List Products with different page,true,25
1588595247164,37,Look at Product,true,34
1588595247180,22,Login,true,13
1588595247182,22,Login,true,13
1588595247194,11,Logout,true,3
1588595247162,47,Add Product to Cart,true,9
1588595247202,12,Home,true,12
1588595247179,36,Add Product 2 to Cart,true,6
1588595247259,19,List Products,true,17
1588595247271,11,Logout,true,4
1588595247260,24,Login,true,13
1588595247268,21,List Products with different page,true,19
1588595247266,33,Add Product to Cart,true,6
1588595247261,41,Look at Product,true,40
1588595247272,31,Add Product 2 to Cart,true,5
1588595247360,23,Login,true,14
1588595247362,22,List Products with different page,true,16
1588595247361,28,Look at Product,true,27
1588595247383,9,Home,true,9
1588595247379,13,Logout,true,4
1588595247369,24,Login,true,13
1588595247368,25,List Products,true,23
1588595247364,32,Add Product to Cart,true,4
1588595247379,18,List Products,true,17
1588595247394,15,Home,true,15
