"Series";"Time";"Value"
"Total Network Received";"2020-05-04T14:28:25+02:00";344158844.8
"Total Network Received";"2020-05-04T14:28:30+02:00";342503255.99999994
"Total Network Received";"2020-05-04T14:28:35+02:00";342664707.20000005
"Total Network Received";"2020-05-04T14:28:40+02:00";342013124.8
"Total Network Received";"2020-05-04T14:28:45+02:00";337546164.8000001
"Total Network Received";"2020-05-04T14:28:50+02:00";340961945.7069227
"Total Network Received";"2020-05-04T14:28:55+02:00";346561219.20000005
"Total Network Received";"2020-05-04T14:29:00+02:00";348578315.2
"Total Network Received";"2020-05-04T14:29:05+02:00";348911206.2630948
"Total Network Received";"2020-05-04T14:29:10+02:00";351118494.40000004
"Total Network Received";"2020-05-04T14:29:15+02:00";342007335.10655355
"Total Network Received";"2020-05-04T14:29:20+02:00";344518533.57936406
"Total Network Received";"2020-05-04T14:29:25+02:00";347822433.6000001
"Total Network Received";"2020-05-04T14:29:30+02:00";344822264.4987595
"Total Network Received";"2020-05-04T14:29:35+02:00";341089916.79999995
"Total Network Received";"2020-05-04T14:29:40+02:00";351802753.5999999
"Total Network Received";"2020-05-04T14:29:45+02:00";340126286.4415916
"Total Network Received";"2020-05-04T14:29:50+02:00";343506083.2000001
"Total Network Received";"2020-05-04T14:29:55+02:00";342807337.63680744
"Total Network Received";"2020-05-04T14:30:00+02:00";346141747.1999999
"Total Network Received";"2020-05-04T14:30:05+02:00";335268538.1629214
"Total Network Received";"2020-05-04T14:30:10+02:00";339035080.1080778
"Total Network Received";"2020-05-04T14:30:15+02:00";344103890.3593763
"Total Network Received";"2020-05-04T14:30:20+02:00";341416130.10634124
"Total Network Received";"2020-05-04T14:30:25+02:00";344646426.7064613
"Total Network Received";"2020-05-04T14:30:30+02:00";340854302.3999999
"Total Network Received";"2020-05-04T14:30:35+02:00";341573897.6
"Total Network Received";"2020-05-04T14:30:40+02:00";344139419.19999987
"Total Network Received";"2020-05-04T14:30:45+02:00";346284547.1763247
"Total Network Received";"2020-05-04T14:30:50+02:00";338288921.55967206
"Total Network Received";"2020-05-04T14:30:55+02:00";347774852.79999995
"Total Network Received";"2020-05-04T14:31:00+02:00";347428896.6823858
"Total Network Received";"2020-05-04T14:31:05+02:00";349319653.67619807
"Total Network Received";"2020-05-04T14:31:10+02:00";340996438.3999999
"Total Network Received";"2020-05-04T14:31:15+02:00";344611425.59999996
"Total Network Received";"2020-05-04T14:31:20+02:00";342621099.2
"Total Network Received";"2020-05-04T14:31:25+02:00";345042468.66050786
"Total Network Received";"2020-05-04T14:31:30+02:00";340040686.9873174
"Total Network Received";"2020-05-04T14:31:35+02:00";346055608.0000001
"Total Network Received";"2020-05-04T14:31:40+02:00";337274821.0552344
"Total Network Received";"2020-05-04T14:31:45+02:00";339377642.0188565
"Total Network Received";"2020-05-04T14:31:50+02:00";343870353.6
"Total Network Received";"2020-05-04T14:31:55+02:00";345384236.7999999
"Total Network Received";"2020-05-04T14:32:00+02:00";343193518.3999999
"Total Network Received";"2020-05-04T14:32:05+02:00";341590683.60871476
"Total Network Received";"2020-05-04T14:32:10+02:00";338913911.5568541
"Total Network Received";"2020-05-04T14:32:15+02:00";340785268.8
"Total Network Received";"2020-05-04T14:32:20+02:00";342789766.4
"Total Network Received";"2020-05-04T14:32:25+02:00";344092676.61731654
"Total Network Received";"2020-05-04T14:32:30+02:00";345290811.3167424
"Total Network Received";"2020-05-04T14:32:35+02:00";339020213.5406531
"Total Network Received";"2020-05-04T14:32:40+02:00";348107025.4700541
"Total Network Received";"2020-05-04T14:32:45+02:00";346453672
"Total Network Received";"2020-05-04T14:32:50+02:00";340919299.1999999
"Total Network Received";"2020-05-04T14:32:55+02:00";336616513.59999996
"Total Network Received";"2020-05-04T14:33:00+02:00";347016964.80000013
"Total Network Received";"2020-05-04T14:33:05+02:00";340746878.3999999
"Total Network Received";"2020-05-04T14:33:10+02:00";345877801.59999985
"Total Network Received";"2020-05-04T14:33:15+02:00";346276558.40000004
"Total Network Received";"2020-05-04T14:33:20+02:00";344424307.6383123
"Total Network Received";"2020-05-04T14:33:25+02:00";337751579.79499894
"Total Network Received";"2020-05-04T14:33:30+02:00";335455532.8
"Total Network Received";"2020-05-04T14:33:35+02:00";345221566.4000001
"Total Network Received";"2020-05-04T14:33:40+02:00";343340895.9999999
"Total Network Received";"2020-05-04T14:33:45+02:00";343403745.59999996
"Total Network Received";"2020-05-04T14:33:50+02:00";343958071.99999994
"Total Network Received";"2020-05-04T14:33:55+02:00";341735307.2815836
"Total Network Received";"2020-05-04T14:34:00+02:00";347661534.0466493
"Total Network Received";"2020-05-04T14:34:05+02:00";349923579.1999999
"Total Network Received";"2020-05-04T14:34:10+02:00";335601678.4000001
"Total Network Received";"2020-05-04T14:34:15+02:00";336713857.84155166
"Total Network Received";"2020-05-04T14:34:20+02:00";343000974.0444089
"Total Network Received";"2020-05-04T14:34:25+02:00";345314172.18781215
"Total Network Received";"2020-05-04T14:34:30+02:00";348102031.91831833
"Total Network Received";"2020-05-04T14:34:35+02:00";341089747.2
"Total Network Received";"2020-05-04T14:34:40+02:00";347384987.19999987
"Total Network Received";"2020-05-04T14:34:45+02:00";349327371.1999999
"Total Network Received";"2020-05-04T14:34:50+02:00";343697406.3999999
"Total Network Received";"2020-05-04T14:34:55+02:00";342904438.4
"Total Network Received";"2020-05-04T14:35:00+02:00";347094178.7716056
"Total Network Received";"2020-05-04T14:35:05+02:00";342822438.6627726
"Total Network Received";"2020-05-04T14:35:10+02:00";346316339.1999999
"Total Network Received";"2020-05-04T14:35:15+02:00";351569461.2207159
"Total Network Received";"2020-05-04T14:35:20+02:00";345715014.26157355
"Total Network Received";"2020-05-04T14:35:25+02:00";343153811.6899995
"Total Network Received";"2020-05-04T14:35:30+02:00";339916686.9340039
"Total Network Received";"2020-05-04T14:35:35+02:00";341622193.07978404
"Total Network Received";"2020-05-04T14:35:40+02:00";344290477.8122449
"Total Network Received";"2020-05-04T14:35:45+02:00";348637448
"Total Network Received";"2020-05-04T14:35:50+02:00";352579649.59999985
"Total Network Received";"2020-05-04T14:35:55+02:00";341393424.00000006
"Total Network Received";"2020-05-04T14:36:00+02:00";346201145.00587887
"Total Network Received";"2020-05-04T14:36:05+02:00";343381794.9340268
"Total Network Received";"2020-05-04T14:36:10+02:00";354246479.9999999
"Total Network Received";"2020-05-04T14:36:15+02:00";349550281.6000001
"Total Network Received";"2020-05-04T14:36:20+02:00";340140679.2568236
"Total Network Received";"2020-05-04T14:36:25+02:00";341467038.8850039
"Total Network Received";"2020-05-04T14:36:30+02:00";347123580.8
