"Series";"Time";"Value"
"CPU-Total";"2020-05-04T14:40:30+02:00";828.4000000000196
"CPU-Total";"2020-05-04T14:40:35+02:00";834.8440711857586
"CPU-Total";"2020-05-04T14:40:40+02:00";845.1949833037854
"CPU-Total";"2020-05-04T14:40:45+02:00";831.5605121024008
"CPU-Total";"2020-05-04T14:40:50+02:00";833.2445110978139
"CPU-Total";"2020-05-04T14:40:55+02:00";825
"CPU-Total";"2020-05-04T14:41:00+02:00";820.5379172496226
"CPU-Total";"2020-05-04T14:41:05+02:00";830.6700365763605
"CPU-Total";"2020-05-04T14:41:10+02:00";815.5560712142195
"CPU-Total";"2020-05-04T14:41:15+02:00";822.846870625845
"CPU-Total";"2020-05-04T14:41:20+02:00";856.0000000000217
"CPU-Total";"2020-05-04T14:41:25+02:00";827.0445110977695
"CPU-Total";"2020-05-04T14:41:30+02:00";839.9535507101237
"CPU-Total";"2020-05-04T14:41:35+02:00";821.4496356630201
"CPU-Total";"2020-05-04T14:41:40+02:00";831.4570873174401
"CPU-Total";"2020-05-04T14:41:45+02:00";804.4451875889296
"CPU-Total";"2020-05-04T14:41:50+02:00";816.6911943271168
"CPU-Total";"2020-05-04T14:41:55+02:00";834.7139972429445
"CPU-Total";"2020-05-04T14:42:00+02:00";837.629348260716
"CPU-Total";"2020-05-04T14:42:05+02:00";847.3688384140385
"CPU-Total";"2020-05-04T14:42:10+02:00";836.3402976122431
"CPU-Total";"2020-05-04T14:42:15+02:00";825.9533106621907
"CPU-Total";"2020-05-04T14:42:20+02:00";857.707834905602
"CPU-Total";"2020-05-04T14:42:25+02:00";826.4147925435944
"CPU-Total";"2020-05-04T14:42:30+02:00";836.6000000000166
"CPU-Total";"2020-05-04T14:42:35+02:00";838.2473905218745
"CPU-Total";"2020-05-04T14:42:40+02:00";839.0930299991967
"CPU-Total";"2020-05-04T14:42:45+02:00";823.0573544126447
"CPU-Total";"2020-05-04T14:42:50+02:00";843.1999999999789
"CPU-Total";"2020-05-04T14:42:55+02:00";847.5592994018567
"CPU-Total";"2020-05-04T14:43:00+02:00";857.4466264841444
"CPU-Total";"2020-05-04T14:43:05+02:00";832.7286484328049
"CPU-Total";"2020-05-04T14:43:10+02:00";830.910621242507
"CPU-Total";"2020-05-04T14:43:15+02:00";830.3999999999907
"CPU-Total";"2020-05-04T14:43:20+02:00";849.6406318736165
"CPU-Total";"2020-05-04T14:43:25+02:00";848.0000000000109
"CPU-Total";"2020-05-04T14:43:30+02:00";828.0135972805548
"CPU-Total";"2020-05-04T14:43:35+02:00";833.9902600876068
"CPU-Total";"2020-05-04T14:43:40+02:00";853.9999999999601
"CPU-Total";"2020-05-04T14:43:45+02:00";823.352550510158
