"Series";"Time";"Value"
"Total Network Transmitted";"2020-05-04T14:52:30+02:00";908304746.0650532
"Total Network Transmitted";"2020-05-04T14:52:35+02:00";911024116.2059608
"Total Network Transmitted";"2020-05-04T14:52:40+02:00";916715220.9524124
"Total Network Transmitted";"2020-05-04T14:52:45+02:00";915013244.927743
"Total Network Transmitted";"2020-05-04T14:52:50+02:00";907819045.9640728
"Total Network Transmitted";"2020-05-04T14:52:55+02:00";918452783.6995004
"Total Network Transmitted";"2020-05-04T14:53:00+02:00";896036485.6584584
"Total Network Transmitted";"2020-05-04T14:53:05+02:00";911010142.4000001
"Total Network Transmitted";"2020-05-04T14:53:10+02:00";907199340.3479304
"Total Network Transmitted";"2020-05-04T14:53:15+02:00";888303718.8462346
"Total Network Transmitted";"2020-05-04T14:53:20+02:00";888212583.8888077
"Total Network Transmitted";"2020-05-04T14:53:25+02:00";894240091.2000002
"Total Network Transmitted";"2020-05-04T14:53:30+02:00";904296497.5036691
"Total Network Transmitted";"2020-05-04T14:53:35+02:00";907063333.4285146
"Total Network Transmitted";"2020-05-04T14:53:40+02:00";919322402.8907999
"Total Network Transmitted";"2020-05-04T14:53:45+02:00";903741308.4395769
"Total Network Transmitted";"2020-05-04T14:53:50+02:00";925188701.294918
"Total Network Transmitted";"2020-05-04T14:53:55+02:00";911542654.4000002
"Total Network Transmitted";"2020-05-04T14:54:00+02:00";909924838.4000001
"Total Network Transmitted";"2020-05-04T14:54:05+02:00";898436705.7090982
"Total Network Transmitted";"2020-05-04T14:54:10+02:00";928625292.8278456
"Total Network Transmitted";"2020-05-04T14:54:15+02:00";899617109.9891862
"Total Network Transmitted";"2020-05-04T14:54:20+02:00";911902805.2896981
"Total Network Transmitted";"2020-05-04T14:54:25+02:00";902053074.6064825
"Total Network Transmitted";"2020-05-04T14:54:30+02:00";904315289.8082782
"Total Network Transmitted";"2020-05-04T14:54:35+02:00";908556050.0813762
"Total Network Transmitted";"2020-05-04T14:54:40+02:00";889513647.9999999
"Total Network Transmitted";"2020-05-04T14:54:45+02:00";882662548.8000001
"Total Network Transmitted";"2020-05-04T14:54:50+02:00";898641120.3308135
"Total Network Transmitted";"2020-05-04T14:54:55+02:00";881399425.5381079
"Total Network Transmitted";"2020-05-04T14:55:00+02:00";893309789.4600279
