timeStamp,elapsed,label,success,Latency
1588589940106,74,Home,true,70
1588589940106,74,Home,true,70
1588589940185,9,Home,true,8
1588589940198,32,Login,true,19
1588589940282,9,Home,true,9
1588589940290,23,Login,true,13
1588589940380,9,Home,true,9
1588589940384,22,Login,true,12
1588589940399,18,List Products,true,17
1588589940480,8,Home,true,8
1588589940482,21,Login,true,12
1588589940491,17,List Products,true,16
1588589940582,9,Home,true,8
1588589940584,16,List Products,true,15
1588589940579,23,Login,true,13
1588589940597,33,Look at Product,true,31
1588589940672,9,Home,true,9
1588589940683,15,List Products,true,14
1588589940679,21,Login,true,14
1588589940691,25,Look at Product,true,24
1588589940768,8,Home,true,8
1588589940781,18,Login,true,11
1588589940780,22,List Products,true,20
1588589940784,25,Look at Product,true,24
1588589940799,27,Add Product to Cart,true,6
1588589940867,9,Home,true,8
1588589940871,19,Login,true,12
1588589940880,14,List Products,true,13
1588589940882,26,Look at Product,true,25
1588589940891,26,Add Product to Cart,true,5
1588589940963,9,Home,true,9
1588589940968,20,Login,true,12
1588589940981,16,List Products,true,14
1588589940980,24,Look at Product,true,24
1588589940984,25,Add Product to Cart,true,5
1588589940999,17,List Products with different page,true,16
1588589941061,8,Home,true,8
1588589941071,222,List Products,true,220
1588589941260,34,Home,true,34
1588589941163,133,Home,true,133
1588589941067,234,Login,true,11
1588589941163,147,Login,true,137
1588589941090,219,List Products with different page,true,218
1588589941168,145,List Products,true,142
1588589941184,137,List Products with different page,true,136
1588589941260,63,Login,true,55
1588589941083,244,Add Product to Cart,true,201
1588589941303,27,List Products,true,25
1588589941079,251,Look at Product,true,250
1588589941197,135,Add Product 2 to Cart,true,103
1588589941179,158,Add Product to Cart,true,110
1588589941181,157,Look at Product,true,156
1588589941295,46,Look at Product,true,44
1588589941328,19,List Products with different page,true,18
1588589941312,36,Add Product 2 to Cart,true,5
1588589941331,27,Add Product to Cart,true,6
1588589941359,13,Home,true,13
1588589941362,20,Login,true,12
1588589941364,19,List Products,true,17
1588589941379,17,List Products with different page,true,15
1588589941368,30,Look at Product,true,29
1588589941381,28,Add Product to Cart,true,5
1588589941398,12,Logout,true,4
1588589941384,28,Add Product 2 to Cart,true,5
1588589941461,7,Home,true,7
1588589941460,15,List Products,true,14
1588589941460,19,Login,true,12
1588589941511,11,Logout,true,4
1588589941495,28,Add Product to Cart,true,5
1588589941503,22,Look at Product,true,21
1588589941531,15,List Products with different page,true,13
1588589941528,29,Add Product 2 to Cart,true,6
1588589941556,9,Home,true,8
1588589941562,17,List Products,true,16
