"Series";"Time";"Value"
"Total apps memory used";"2020-05-04T13:00:00+02:00";7455559680
"Total apps memory used";"2020-05-04T13:00:05+02:00";7446544384
"Total apps memory used";"2020-05-04T13:00:10+02:00";7442489344
"Total apps memory used";"2020-05-04T13:00:15+02:00";7451230208
"Total apps memory used";"2020-05-04T13:00:20+02:00";7462207488
"Total apps memory used";"2020-05-04T13:00:25+02:00";7445819392
"Total apps memory used";"2020-05-04T13:00:30+02:00";7455432704
"Total apps memory used";"2020-05-04T13:00:35+02:00";7465521152
"Total apps memory used";"2020-05-04T13:00:40+02:00";7462486016
"Total apps memory used";"2020-05-04T13:00:45+02:00";7447715840
"Total apps memory used";"2020-05-04T13:00:50+02:00";7454183424
"Total apps memory used";"2020-05-04T13:00:55+02:00";7451176960
"Total apps memory used";"2020-05-04T13:01:00+02:00";7453425664
"Total apps memory used";"2020-05-04T13:01:05+02:00";7447240704
"Total apps memory used";"2020-05-04T13:01:10+02:00";7466295296
"Total apps memory used";"2020-05-04T13:01:15+02:00";7471067136
"Total apps memory used";"2020-05-04T13:01:20+02:00";7457394688
"Total apps memory used";"2020-05-04T13:01:25+02:00";7456096256
"Total apps memory used";"2020-05-04T13:01:30+02:00";7467413504
"Total apps memory used";"2020-05-04T13:01:35+02:00";7457263616
"Total apps memory used";"2020-05-04T13:01:40+02:00";7460859904
"Total apps memory used";"2020-05-04T13:01:45+02:00";7463047168
"Total apps memory used";"2020-05-04T13:01:50+02:00";7458099200
"Total apps memory used";"2020-05-04T13:01:55+02:00";7467368448
"Total apps memory used";"2020-05-04T13:02:00+02:00";7477108736
"Total apps memory used";"2020-05-04T13:02:05+02:00";7465082880
"Total apps memory used";"2020-05-04T13:02:10+02:00";7479119872
"Total apps memory used";"2020-05-04T13:02:15+02:00";7462526976
"Total apps memory used";"2020-05-04T13:02:20+02:00";7447695360
"Total apps memory used";"2020-05-04T13:02:25+02:00";7471620096
"Total apps memory used";"2020-05-04T13:02:30+02:00";7467425792
"Total apps memory used";"2020-05-04T13:02:35+02:00";7497928704
"Total apps memory used";"2020-05-04T13:02:40+02:00";7463333888
"Total apps memory used";"2020-05-04T13:02:45+02:00";7470387200
"Total apps memory used";"2020-05-04T13:02:50+02:00";7482933248
"Total apps memory used";"2020-05-04T13:02:55+02:00";7455879168
"Total apps memory used";"2020-05-04T13:03:00+02:00";7487172608
"Total apps memory used";"2020-05-04T13:03:05+02:00";7462408192
"Total apps memory used";"2020-05-04T13:03:10+02:00";7459344384
"Total apps memory used";"2020-05-04T13:03:15+02:00";7473328128
"Total apps memory used";"2020-05-04T13:03:20+02:00";7472115712
"Total apps memory used";"2020-05-04T13:03:25+02:00";7475847168
"Total apps memory used";"2020-05-04T13:03:30+02:00";7466852352
"Total apps memory used";"2020-05-04T13:03:35+02:00";7469219840
"Total apps memory used";"2020-05-04T13:03:40+02:00";7455653888
