"Series";"Time";"Value"
"Total Network Received";"2020-05-04T13:12:05+02:00";524518153.0063435
"Total Network Received";"2020-05-04T13:12:10+02:00";522115044.939228
"Total Network Received";"2020-05-04T13:12:15+02:00";522015724.79999995
"Total Network Received";"2020-05-04T13:12:20+02:00";513748860.79999995
"Total Network Received";"2020-05-04T13:12:25+02:00";510186678.9007391
"Total Network Received";"2020-05-04T13:12:30+02:00";513668336.4245945
"Total Network Received";"2020-05-04T13:12:35+02:00";517851499.20000005
"Total Network Received";"2020-05-04T13:12:40+02:00";501814870.4000001
"Total Network Received";"2020-05-04T13:12:45+02:00";511170171.20000005
"Total Network Received";"2020-05-04T13:12:50+02:00";511070854.1469307
"Total Network Received";"2020-05-04T13:12:55+02:00";514744191.74010795
"Total Network Received";"2020-05-04T13:13:00+02:00";512246340.8000001
"Total Network Received";"2020-05-04T13:13:05+02:00";512125353.6
"Total Network Received";"2020-05-04T13:13:10+02:00";509883207.73765254
"Total Network Received";"2020-05-04T13:13:15+02:00";512301490.179613
"Total Network Received";"2020-05-04T13:13:20+02:00";515917529.76618636
"Total Network Received";"2020-05-04T13:13:25+02:00";529425715.8536291
"Total Network Received";"2020-05-04T13:13:30+02:00";523838884.8352071
"Total Network Received";"2020-05-04T13:13:35+02:00";513584697.6
"Total Network Received";"2020-05-04T13:13:40+02:00";511075661.3586083
"Total Network Received";"2020-05-04T13:13:45+02:00";505531661.6408081
"Total Network Received";"2020-05-04T13:13:50+02:00";505606621.8095846
"Total Network Received";"2020-05-04T13:13:55+02:00";513027042.1871795
"Total Network Received";"2020-05-04T13:14:00+02:00";515888174.40000004
"Total Network Received";"2020-05-04T13:14:05+02:00";516302553.6000001
"Total Network Received";"2020-05-04T13:14:10+02:00";512284339.20000005
"Total Network Received";"2020-05-04T13:14:15+02:00";514669811.2
"Total Network Received";"2020-05-04T13:14:20+02:00";510907486.4
"Total Network Received";"2020-05-04T13:14:25+02:00";524777329.6
"Total Network Received";"2020-05-04T13:14:30+02:00";507224648.00000006
"Total Network Received";"2020-05-04T13:14:35+02:00";513532892.79999995
"Total Network Received";"2020-05-04T13:14:40+02:00";513334544
"Total Network Received";"2020-05-04T13:14:45+02:00";515685239.7056588
"Total Network Received";"2020-05-04T13:14:50+02:00";513348819.9607921
"Total Network Received";"2020-05-04T13:14:55+02:00";512856955.06978595
"Total Network Received";"2020-05-04T13:15:00+02:00";513087093.6248753
"Total Network Received";"2020-05-04T13:15:05+02:00";510045959.94130516
"Total Network Received";"2020-05-04T13:15:10+02:00";514475369.5987196
"Total Network Received";"2020-05-04T13:15:15+02:00";505950092.7999999
"Total Network Received";"2020-05-04T13:15:20+02:00";509871269.727063
"Total Network Received";"2020-05-04T13:15:25+02:00";518784790.73587143
"Total Network Received";"2020-05-04T13:15:30+02:00";519657212.8000001
"Total Network Received";"2020-05-04T13:15:35+02:00";516926862.3999999
"Total Network Received";"2020-05-04T13:15:40+02:00";519408074.89484215
"Total Network Received";"2020-05-04T13:15:45+02:00";510933051.5502202
"Total Network Received";"2020-05-04T13:15:50+02:00";519602486.40000015
"Total Network Received";"2020-05-04T13:15:55+02:00";496506723.2
"Total Network Received";"2020-05-04T13:16:00+02:00";515996008.68594277
"Total Network Received";"2020-05-04T13:16:05+02:00";511432655.5703248
"Total Network Received";"2020-05-04T13:16:10+02:00";506876882.3058448
"Total Network Received";"2020-05-04T13:16:15+02:00";518985408.00000006
"Total Network Received";"2020-05-04T13:16:20+02:00";518123311.07113236
