"Series";"Time";"Value"
"Total Network Transmitted";"2020-05-04T13:24:05+02:00";770985098.8112779
"Total Network Transmitted";"2020-05-04T13:24:10+02:00";768282140.8000001
"Total Network Transmitted";"2020-05-04T13:24:15+02:00";774318758.2479696
"Total Network Transmitted";"2020-05-04T13:24:20+02:00";788275377.34552
"Total Network Transmitted";"2020-05-04T13:24:25+02:00";787172112.830461
"Total Network Transmitted";"2020-05-04T13:24:30+02:00";778269071.2573366
"Total Network Transmitted";"2020-05-04T13:24:35+02:00";765349835.0032394
"Total Network Transmitted";"2020-05-04T13:24:40+02:00";771455037.1462924
"Total Network Transmitted";"2020-05-04T13:24:45+02:00";790893821.5339067
"Total Network Transmitted";"2020-05-04T13:24:50+02:00";767280108.8
"Total Network Transmitted";"2020-05-04T13:24:55+02:00";776394009.5999999
"Total Network Transmitted";"2020-05-04T13:25:00+02:00";768018427.1999999
"Total Network Transmitted";"2020-05-04T13:25:05+02:00";777101508.8
"Total Network Transmitted";"2020-05-04T13:25:10+02:00";784310963.2
"Total Network Transmitted";"2020-05-04T13:25:15+02:00";766533141.782647
"Total Network Transmitted";"2020-05-04T13:25:20+02:00";782206443.9164467
"Total Network Transmitted";"2020-05-04T13:25:25+02:00";774888406.5993202
"Total Network Transmitted";"2020-05-04T13:25:30+02:00";776804628.8370978
"Total Network Transmitted";"2020-05-04T13:25:35+02:00";772114030.8687613
"Total Network Transmitted";"2020-05-04T13:25:40+02:00";791342090.5976396
"Total Network Transmitted";"2020-05-04T13:25:45+02:00";787993646.4000001
"Total Network Transmitted";"2020-05-04T13:25:50+02:00";765234433.6582167
"Total Network Transmitted";"2020-05-04T13:25:55+02:00";758348472.1190639
"Total Network Transmitted";"2020-05-04T13:26:00+02:00";772603033.9597521
"Total Network Transmitted";"2020-05-04T13:26:05+02:00";775459639.757537
"Total Network Transmitted";"2020-05-04T13:26:10+02:00";776680114.3822365
"Total Network Transmitted";"2020-05-04T13:26:15+02:00";786576700.8000001
"Total Network Transmitted";"2020-05-04T13:26:20+02:00";776396263.0218844
"Total Network Transmitted";"2020-05-04T13:26:25+02:00";778452386.8316547
"Total Network Transmitted";"2020-05-04T13:26:30+02:00";778440327.9449158
"Total Network Transmitted";"2020-05-04T13:26:35+02:00";774899767.5316137
"Total Network Transmitted";"2020-05-04T13:26:40+02:00";761969332.1356015
"Total Network Transmitted";"2020-05-04T13:26:45+02:00";765627252.2256902
"Total Network Transmitted";"2020-05-04T13:26:50+02:00";775688175.9999999
"Total Network Transmitted";"2020-05-04T13:26:55+02:00";785798379.658285
"Total Network Transmitted";"2020-05-04T13:27:00+02:00";777032771.9655793
"Total Network Transmitted";"2020-05-04T13:27:05+02:00";786458914.8585131
"Total Network Transmitted";"2020-05-04T13:27:10+02:00";783903788.4252253
"Total Network Transmitted";"2020-05-04T13:27:15+02:00";771246125.8485407
"Total Network Transmitted";"2020-05-04T13:27:20+02:00";771387297.1038015
"Total Network Transmitted";"2020-05-04T13:27:25+02:00";777037636.2106779
"Total Network Transmitted";"2020-05-04T13:27:30+02:00";765089045.4533093
"Total Network Transmitted";"2020-05-04T13:27:35+02:00";778431110.4
"Total Network Transmitted";"2020-05-04T13:27:40+02:00";771032566.1829531
"Total Network Transmitted";"2020-05-04T13:27:45+02:00";770106093.4049989
"Total Network Transmitted";"2020-05-04T13:27:50+02:00";782766694.6406072
"Total Network Transmitted";"2020-05-04T13:27:55+02:00";775154036.7910383
"Total Network Transmitted";"2020-05-04T13:28:00+02:00";775633308.8
"Total Network Transmitted";"2020-05-04T13:28:05+02:00";768383735.5431314
"Total Network Transmitted";"2020-05-04T13:28:10+02:00";765904499.8055612
"Total Network Transmitted";"2020-05-04T13:28:15+02:00";766781554.6943171
"Total Network Transmitted";"2020-05-04T13:28:20+02:00";785961236.1405361
"Total Network Transmitted";"2020-05-04T13:28:25+02:00";793399847.0457791
"Total Network Transmitted";"2020-05-04T13:28:30+02:00";770930508.8658693
"Total Network Transmitted";"2020-05-04T13:28:35+02:00";774297173.0851771
"Total Network Transmitted";"2020-05-04T13:28:40+02:00";768639014.4870572
"Total Network Transmitted";"2020-05-04T13:28:45+02:00";779464513.6000001
"Total Network Transmitted";"2020-05-04T13:28:50+02:00";771268376.4571886
"Total Network Transmitted";"2020-05-04T13:28:55+02:00";781862388.9958793
"Total Network Transmitted";"2020-05-04T13:29:00+02:00";776372950.4000001
"Total Network Transmitted";"2020-05-04T13:29:05+02:00";760367982.2774644
"Total Network Transmitted";"2020-05-04T13:29:10+02:00";784939851.4213957
"Total Network Transmitted";"2020-05-04T13:29:15+02:00";768184644.8
"Total Network Transmitted";"2020-05-04T13:29:20+02:00";774245610.4937974
"Total Network Transmitted";"2020-05-04T13:29:25+02:00";778019800
"Total Network Transmitted";"2020-05-04T13:29:30+02:00";781287357.5073786
"Total Network Transmitted";"2020-05-04T13:29:35+02:00";784682790.3999999
"Total Network Transmitted";"2020-05-04T13:29:40+02:00";774555225.6000001
"Total Network Transmitted";"2020-05-04T13:29:45+02:00";776625402.4476609
"Total Network Transmitted";"2020-05-04T13:29:50+02:00";769335390.1036208
"Total Network Transmitted";"2020-05-04T13:29:55+02:00";776149820.8
"Total Network Transmitted";"2020-05-04T13:30:00+02:00";770379099.7896758
"Total Network Transmitted";"2020-05-04T13:30:05+02:00";764570033.9308138
"Total Network Transmitted";"2020-05-04T13:30:10+02:00";776175907.2
"Total Network Transmitted";"2020-05-04T13:30:15+02:00";772402334.4693983
"Total Network Transmitted";"2020-05-04T13:30:20+02:00";781600583.4632505
"Total Network Transmitted";"2020-05-04T13:30:25+02:00";775537577.3750849
"Total Network Transmitted";"2020-05-04T13:30:30+02:00";773816243.6362473
"Total Network Transmitted";"2020-05-04T13:30:35+02:00";764936542.2512298
"Total Network Transmitted";"2020-05-04T13:30:40+02:00";773361217.5254251
"Total Network Transmitted";"2020-05-04T13:30:45+02:00";784329705.6000001
"Total Network Transmitted";"2020-05-04T13:30:50+02:00";783917185.5999999
"Total Network Transmitted";"2020-05-04T13:30:55+02:00";775970470.3999999
"Total Network Transmitted";"2020-05-04T13:31:00+02:00";774572743.6956036
"Total Network Transmitted";"2020-05-04T13:31:05+02:00";776761935.1391513
"Total Network Transmitted";"2020-05-04T13:31:10+02:00";766912098.8759048
"Total Network Transmitted";"2020-05-04T13:31:15+02:00";772920420.345048
"Total Network Transmitted";"2020-05-04T13:31:20+02:00";777492068.1846155
"Total Network Transmitted";"2020-05-04T13:31:25+02:00";782272379.0316465
"Total Network Transmitted";"2020-05-04T13:31:30+02:00";781235740.7999998
"Total Network Transmitted";"2020-05-04T13:31:35+02:00";779738728.9716456
"Total Network Transmitted";"2020-05-04T13:31:40+02:00";772966926.880224
"Total Network Transmitted";"2020-05-04T13:31:45+02:00";795114209.9009204
"Total Network Transmitted";"2020-05-04T13:31:50+02:00";775536724.3672197
"Total Network Transmitted";"2020-05-04T13:31:55+02:00";765724023.1259847
"Total Network Transmitted";"2020-05-04T13:32:00+02:00";774321855.9999999
"Total Network Transmitted";"2020-05-04T13:32:05+02:00";781384350.3999999
"Total Network Transmitted";"2020-05-04T13:32:10+02:00";775502702.6527495
"Total Network Transmitted";"2020-05-04T13:32:15+02:00";774410522.0936612
"Total Network Transmitted";"2020-05-04T13:32:20+02:00";776575397.4918497
"Total Network Transmitted";"2020-05-04T13:32:25+02:00";771101529.0378981
"Total Network Transmitted";"2020-05-04T13:32:30+02:00";776321361.5041037
"Total Network Transmitted";"2020-05-04T13:32:35+02:00";777016510.1143315
"Total Network Transmitted";"2020-05-04T13:32:40+02:00";768986287.390522
"Total Network Transmitted";"2020-05-04T13:32:45+02:00";780171833.6
"Total Network Transmitted";"2020-05-04T13:32:50+02:00";768151510.1140008
"Total Network Transmitted";"2020-05-04T13:32:55+02:00";781710247.935467
"Total Network Transmitted";"2020-05-04T13:33:00+02:00";775623018.2383354
"Total Network Transmitted";"2020-05-04T13:33:05+02:00";770977155.9344262
"Total Network Transmitted";"2020-05-04T13:33:10+02:00";777663892.0540584
"Total Network Transmitted";"2020-05-04T13:33:15+02:00";766538652.18767
"Total Network Transmitted";"2020-05-04T13:33:20+02:00";772547788.8
"Total Network Transmitted";"2020-05-04T13:33:25+02:00";772472713.9192961
"Total Network Transmitted";"2020-05-04T13:33:30+02:00";770747862.5922816
"Total Network Transmitted";"2020-05-04T13:33:35+02:00";783204307.0533812
"Total Network Transmitted";"2020-05-04T13:33:40+02:00";767518106.2251549
"Total Network Transmitted";"2020-05-04T13:33:45+02:00";779704124.4352729
"Total Network Transmitted";"2020-05-04T13:33:50+02:00";773057397.5827367
"Total Network Transmitted";"2020-05-04T13:33:55+02:00";769286562.841019
"Total Network Transmitted";"2020-05-04T13:34:00+02:00";773670865.7932028
