"Series";"Time";"Value"
"CPU-Total";"2020-05-04T13:36:10+02:00";649.00670512289
"CPU-Total";"2020-05-04T13:36:15+02:00";641.3999999999942
"CPU-Total";"2020-05-04T13:36:20+02:00";648.8567086582693
"CPU-Total";"2020-05-04T13:36:25+02:00";661.6758961068671
"CPU-Total";"2020-05-04T13:36:30+02:00";647.0633114361744
"CPU-Total";"2020-05-04T13:36:35+02:00";639.80413476817
"CPU-Total";"2020-05-04T13:36:40+02:00";634.9977346559003
"CPU-Total";"2020-05-04T13:36:45+02:00";646.698283196199
"CPU-Total";"2020-05-04T13:36:50+02:00";674.8377446755006
"CPU-Total";"2020-05-04T13:36:55+02:00";666.2309068026107
"CPU-Total";"2020-05-04T13:37:00+02:00";649.3147095911183
"CPU-Total";"2020-05-04T13:37:05+02:00";668.5428748388296
"CPU-Total";"2020-05-04T13:37:10+02:00";667.4100258603489
"CPU-Total";"2020-05-04T13:37:15+02:00";658.9011966619028
"CPU-Total";"2020-05-04T13:37:20+02:00";666.0457267620048
"CPU-Total";"2020-05-04T13:37:25+02:00";673.252354496066
"CPU-Total";"2020-05-04T13:37:30+02:00";647.4380615855023
"CPU-Total";"2020-05-04T13:37:35+02:00";653.2577138289568
"CPU-Total";"2020-05-04T13:37:40+02:00";649.2187372593363
"CPU-Total";"2020-05-04T13:37:45+02:00";669.7006539786182
"CPU-Total";"2020-05-04T13:37:50+02:00";642.7198297507424
"CPU-Total";"2020-05-04T13:37:55+02:00";652.8285387531572
"CPU-Total";"2020-05-04T13:38:00+02:00";670.5284137963022
"CPU-Total";"2020-05-04T13:38:05+02:00";675.3050821288138
"CPU-Total";"2020-05-04T13:38:10+02:00";652.5694362538378
"CPU-Total";"2020-05-04T13:38:15+02:00";648.7658653377375
"CPU-Total";"2020-05-04T13:38:20+02:00";633.5606484620907
"CPU-Total";"2020-05-04T13:38:25+02:00";650.2044026415936
"CPU-Total";"2020-05-04T13:38:30+02:00";643.1079796045656
"CPU-Total";"2020-05-04T13:38:35+02:00";657.7538041766803
"CPU-Total";"2020-05-04T13:38:40+02:00";667.9535070140158
"CPU-Total";"2020-05-04T13:38:45+02:00";661.8174536760442
"CPU-Total";"2020-05-04T13:38:50+02:00";655.5075394044879
"CPU-Total";"2020-05-04T13:38:55+02:00";666.8404229029557
"CPU-Total";"2020-05-04T13:39:00+02:00";654.0660267946374
"CPU-Total";"2020-05-04T13:39:05+02:00";672.0539892021487
"CPU-Total";"2020-05-04T13:39:10+02:00";661.4686794239714
"CPU-Total";"2020-05-04T13:39:15+02:00";642.2807836025305
"CPU-Total";"2020-05-04T13:39:20+02:00";650.0338802084551
"CPU-Total";"2020-05-04T13:39:25+02:00";653.6950190037836
"CPU-Total";"2020-05-04T13:39:30+02:00";647.4395120976146
"CPU-Total";"2020-05-04T13:39:35+02:00";643.3610322063973
"CPU-Total";"2020-05-04T13:39:40+02:00";653.5892558393756
"CPU-Total";"2020-05-04T13:39:45+02:00";643.7097399687549
"CPU-Total";"2020-05-04T13:39:50+02:00";629.0723992784173
"CPU-Total";"2020-05-04T13:39:55+02:00";650.5421980741268
"CPU-Total";"2020-05-04T13:40:00+02:00";702.5453961958012
"CPU-Total";"2020-05-04T13:40:05+02:00";693.4744801542766
"CPU-Total";"2020-05-04T13:40:10+02:00";665.0956617799861
"CPU-Total";"2020-05-04T13:40:15+02:00";653.8899810534828
"CPU-Total";"2020-05-04T13:40:20+02:00";656.2815821486067
"CPU-Total";"2020-05-04T13:40:25+02:00";675.006443866324
"CPU-Total";"2020-05-04T13:40:30+02:00";663.359848030373
"CPU-Total";"2020-05-04T13:40:35+02:00";672.0816469646426
"CPU-Total";"2020-05-04T13:40:40+02:00";663.1343063806272
"CPU-Total";"2020-05-04T13:40:45+02:00";660.3999999999724
"CPU-Total";"2020-05-04T13:40:50+02:00";649.666666666658
"CPU-Total";"2020-05-04T13:40:55+02:00";652.733786757367
"CPU-Total";"2020-05-04T13:41:00+02:00";647.9230042516152
"CPU-Total";"2020-05-04T13:41:05+02:00";665.1438975590097
"CPU-Total";"2020-05-04T13:41:10+02:00";639.5999999999912
"CPU-Total";"2020-05-04T13:41:15+02:00";641.8275944811157
"CPU-Total";"2020-05-04T13:41:20+02:00";659.8391427606066
"CPU-Total";"2020-05-04T13:41:25+02:00";650.5376996672823
"CPU-Total";"2020-05-04T13:41:30+02:00";651.0524959922675
"CPU-Total";"2020-05-04T13:41:35+02:00";650.7493805607039
"CPU-Total";"2020-05-04T13:41:40+02:00";672.7953627823421
"CPU-Total";"2020-05-04T13:41:45+02:00";675.8092055232995
"CPU-Total";"2020-05-04T13:41:50+02:00";674.3357601164043
"CPU-Total";"2020-05-04T13:41:55+02:00";681.3716372455705
"CPU-Total";"2020-05-04T13:42:00+02:00";683.4196628831747
"CPU-Total";"2020-05-04T13:42:05+02:00";656.6685874349496
"CPU-Total";"2020-05-04T13:42:10+02:00";651.4625099920232
"CPU-Total";"2020-05-04T13:42:15+02:00";656.3377101681148
"CPU-Total";"2020-05-04T13:42:20+02:00";671.4508771074867
"CPU-Total";"2020-05-04T13:42:25+02:00";675.21658177479
"CPU-Total";"2020-05-04T13:42:30+02:00";650.7926558163274
"CPU-Total";"2020-05-04T13:42:35+02:00";638.470855674553
"CPU-Total";"2020-05-04T13:42:40+02:00";652.669227691074
"CPU-Total";"2020-05-04T13:42:45+02:00";646.1351870373883
"CPU-Total";"2020-05-04T13:42:50+02:00";650.0669866027158
"CPU-Total";"2020-05-04T13:42:55+02:00";657.9881647340766
"CPU-Total";"2020-05-04T13:43:00+02:00";662.9886859259115
"CPU-Total";"2020-05-04T13:43:05+02:00";680.0329454841991
"CPU-Total";"2020-05-04T13:43:10+02:00";673.1658604837388
"CPU-Total";"2020-05-04T13:43:15+02:00";661.857973540353
"CPU-Total";"2020-05-04T13:43:20+02:00";668.9736347269508
"CPU-Total";"2020-05-04T13:43:25+02:00";654.6250962377686
"CPU-Total";"2020-05-04T13:43:30+02:00";654.168824373963
"CPU-Total";"2020-05-04T13:43:35+02:00";665.8723767944396
"CPU-Total";"2020-05-04T13:43:40+02:00";679.6837889016881
"CPU-Total";"2020-05-04T13:43:45+02:00";675.2669447887147
"CPU-Total";"2020-05-04T13:43:50+02:00";668.3861562861422
"CPU-Total";"2020-05-04T13:43:55+02:00";667.3339067813449
"CPU-Total";"2020-05-04T13:44:00+02:00";662.5924091090807
"CPU-Total";"2020-05-04T13:44:05+02:00";655.4708708708611
"CPU-Total";"2020-05-04T13:44:10+02:00";666.9307477009316
"CPU-Total";"2020-05-04T13:44:15+02:00";646.3858053497885
"CPU-Total";"2020-05-04T13:44:20+02:00";630.6148826917037
"CPU-Total";"2020-05-04T13:44:25+02:00";633.4626626626547
"CPU-Total";"2020-05-04T13:44:30+02:00";639.9328265653222
"CPU-Total";"2020-05-04T13:44:35+02:00";645.8275544890923
"CPU-Total";"2020-05-04T13:44:40+02:00";673.2401815936227
"CPU-Total";"2020-05-04T13:44:45+02:00";646.95169588907
"CPU-Total";"2020-05-04T13:44:50+02:00";670.5466986794485
"CPU-Total";"2020-05-04T13:44:55+02:00";669.2409420019582
"CPU-Total";"2020-05-04T13:45:00+02:00";667.1573977407346
"CPU-Total";"2020-05-04T13:45:05+02:00";652.8412773391213
"CPU-Total";"2020-05-04T13:45:10+02:00";656.7537480715496
"CPU-Total";"2020-05-04T13:45:15+02:00";655.9722344469112
"CPU-Total";"2020-05-04T13:45:20+02:00";668.9835474819089
"CPU-Total";"2020-05-04T13:45:25+02:00";673.6800108769718
"CPU-Total";"2020-05-04T13:45:30+02:00";676.1413769587009
"CPU-Total";"2020-05-04T13:45:35+02:00";642.5637815425716
"CPU-Total";"2020-05-04T13:45:40+02:00";635.9057411482243
"CPU-Total";"2020-05-04T13:45:45+02:00";636.4283543291283
"CPU-Total";"2020-05-04T13:45:50+02:00";649.9718343668734
"CPU-Total";"2020-05-04T13:45:55+02:00";666.4657068586224
"CPU-Total";"2020-05-04T13:46:00+02:00";681.0927814437148
"CPU-Total";"2020-05-04T13:46:05+02:00";669.5601985889915
