"Series";"Time";"Value"
"Total Network Received";"2020-05-04T16:00:00+02:00";286464298.384276
"Total Network Received";"2020-05-04T16:00:05+02:00";284169678.36128765
"Total Network Received";"2020-05-04T16:00:10+02:00";291177564.35511106
"Total Network Received";"2020-05-04T16:00:15+02:00";289255685.5608391
"Total Network Received";"2020-05-04T16:00:20+02:00";286598852.6290175
"Total Network Received";"2020-05-04T16:00:25+02:00";293842609.1200317
"Total Network Received";"2020-05-04T16:00:30+02:00";294456776.8408735
"Total Network Received";"2020-05-04T16:00:35+02:00";287062351.33364576
"Total Network Received";"2020-05-04T16:00:40+02:00";291000400
"Total Network Received";"2020-05-04T16:00:45+02:00";293221172.1694896
"Total Network Received";"2020-05-04T16:00:50+02:00";286699908.79999995
"Total Network Received";"2020-05-04T16:00:55+02:00";292453284.7999999
"Total Network Received";"2020-05-04T16:01:00+02:00";283253086.40000004
"Total Network Received";"2020-05-04T16:01:05+02:00";293272472.7908819
"Total Network Received";"2020-05-04T16:01:10+02:00";293795255.8848921
"Total Network Received";"2020-05-04T16:01:15+02:00";289494366.0732732
"Total Network Received";"2020-05-04T16:01:20+02:00";291350470.7208957
"Total Network Received";"2020-05-04T16:01:25+02:00";286318491.1999999
"Total Network Received";"2020-05-04T16:01:30+02:00";293547056
"Total Network Received";"2020-05-04T16:01:35+02:00";289752744.5775873
"Total Network Received";"2020-05-04T16:01:40+02:00";283358555.950261
"Total Network Received";"2020-05-04T16:01:45+02:00";296194957.75660866
"Total Network Received";"2020-05-04T16:01:50+02:00";294858315.0806161
"Total Network Received";"2020-05-04T16:01:55+02:00";290025143.3365854
"Total Network Received";"2020-05-04T16:02:00+02:00";292429218.2543606
"Total Network Received";"2020-05-04T16:02:05+02:00";290888557.9762353
"Total Network Received";"2020-05-04T16:02:10+02:00";288623489.0624025
"Total Network Received";"2020-05-04T16:02:15+02:00";288181786.57882726
"Total Network Received";"2020-05-04T16:02:20+02:00";290761374.4
"Total Network Received";"2020-05-04T16:02:25+02:00";293456419.1702459
"Total Network Received";"2020-05-04T16:02:30+02:00";296450908.21375173
"Total Network Received";"2020-05-04T16:02:35+02:00";299097884.54330873
"Total Network Received";"2020-05-04T16:02:40+02:00";286948653.73773247
"Total Network Received";"2020-05-04T16:02:45+02:00";283438557.19367874
"Total Network Received";"2020-05-04T16:02:50+02:00";286476389.8212357
"Total Network Received";"2020-05-04T16:02:55+02:00";293127717.5107206
"Total Network Received";"2020-05-04T16:03:00+02:00";286710934.05691385
"Total Network Received";"2020-05-04T16:03:05+02:00";301687465.26157534
"Total Network Received";"2020-05-04T16:03:10+02:00";293515484.7648351
"Total Network Received";"2020-05-04T16:03:15+02:00";288338994.4852361
"Total Network Received";"2020-05-04T16:03:20+02:00";292873504.83719087
"Total Network Received";"2020-05-04T16:03:25+02:00";293556943.0996004
"Total Network Received";"2020-05-04T16:03:30+02:00";287467961.08549714
"Total Network Received";"2020-05-04T16:03:35+02:00";280152077.9125425
"Total Network Received";"2020-05-04T16:03:40+02:00";287359730.07582223
"Total Network Received";"2020-05-04T16:03:45+02:00";293261128.0571543
"Total Network Received";"2020-05-04T16:03:50+02:00";290816317.4626673
"Total Network Received";"2020-05-04T16:03:55+02:00";295121684.6858566
"Total Network Received";"2020-05-04T16:04:00+02:00";291071463.99999994
"Total Network Received";"2020-05-04T16:04:05+02:00";287812145.6000001
"Total Network Received";"2020-05-04T16:04:10+02:00";282709737.46826535
"Total Network Received";"2020-05-04T16:04:15+02:00";291354595.75724584
"Total Network Received";"2020-05-04T16:04:20+02:00";286360422.4
"Total Network Received";"2020-05-04T16:04:25+02:00";285783937.59999996
"Total Network Received";"2020-05-04T16:04:30+02:00";289402909.97064584
"Total Network Received";"2020-05-04T16:04:35+02:00";296369827.81972766
"Total Network Received";"2020-05-04T16:04:40+02:00";292676943.49136585
"Total Network Received";"2020-05-04T16:04:45+02:00";285551982.85033005
