"Series";"Time";"Value"
"Total apps memory used";"2020-05-04T16:12:05+02:00";9540571136
"Total apps memory used";"2020-05-04T16:12:10+02:00";9540927488
"Total apps memory used";"2020-05-04T16:12:15+02:00";9551908864
"Total apps memory used";"2020-05-04T16:12:20+02:00";9554141184
"Total apps memory used";"2020-05-04T16:12:25+02:00";9553743872
"Total apps memory used";"2020-05-04T16:12:30+02:00";9564872704
"Total apps memory used";"2020-05-04T16:12:35+02:00";9570115584
"Total apps memory used";"2020-05-04T16:12:40+02:00";9575333888
"Total apps memory used";"2020-05-04T16:12:45+02:00";9575079936
"Total apps memory used";"2020-05-04T16:12:50+02:00";9588187136
"Total apps memory used";"2020-05-04T16:12:55+02:00";9578147840
"Total apps memory used";"2020-05-04T16:13:00+02:00";9604472832
"Total apps memory used";"2020-05-04T16:13:05+02:00";9604083712
"Total apps memory used";"2020-05-04T16:13:10+02:00";9597661184
"Total apps memory used";"2020-05-04T16:13:15+02:00";9587482624
"Total apps memory used";"2020-05-04T16:13:20+02:00";9599074304
"Total apps memory used";"2020-05-04T16:13:25+02:00";9604730880
"Total apps memory used";"2020-05-04T16:13:30+02:00";9601003520
"Total apps memory used";"2020-05-04T16:13:35+02:00";9619476480
"Total apps memory used";"2020-05-04T16:13:40+02:00";9601757184
"Total apps memory used";"2020-05-04T16:13:45+02:00";9611931648
"Total apps memory used";"2020-05-04T16:13:50+02:00";9617358848
"Total apps memory used";"2020-05-04T16:13:55+02:00";9622151168
"Total apps memory used";"2020-05-04T16:14:00+02:00";9615261696
"Total apps memory used";"2020-05-04T16:14:05+02:00";9635950592
"Total apps memory used";"2020-05-04T16:14:10+02:00";9626918912
"Total apps memory used";"2020-05-04T16:14:15+02:00";9646288896
"Total apps memory used";"2020-05-04T16:14:20+02:00";9642418176
"Total apps memory used";"2020-05-04T16:14:25+02:00";9649233920
"Total apps memory used";"2020-05-04T16:14:30+02:00";9647267840
"Total apps memory used";"2020-05-04T16:14:35+02:00";9646911488
"Total apps memory used";"2020-05-04T16:14:40+02:00";9642528768
"Total apps memory used";"2020-05-04T16:14:45+02:00";9635209216
"Total apps memory used";"2020-05-04T16:14:50+02:00";9646964736
"Total apps memory used";"2020-05-04T16:14:55+02:00";9648574464
"Total apps memory used";"2020-05-04T16:15:00+02:00";9653829632
"Total apps memory used";"2020-05-04T16:15:05+02:00";9643950080
"Total apps memory used";"2020-05-04T16:15:10+02:00";9655402496
"Total apps memory used";"2020-05-04T16:15:15+02:00";9657856000
"Total apps memory used";"2020-05-04T16:15:20+02:00";9646600192
"Total apps memory used";"2020-05-04T16:15:25+02:00";9660129280
"Total apps memory used";"2020-05-04T16:15:30+02:00";9674170368
"Total apps memory used";"2020-05-04T16:15:35+02:00";9710383104
"Total apps memory used";"2020-05-04T16:15:40+02:00";9702117376
"Total apps memory used";"2020-05-04T16:15:45+02:00";9707057152
"Total apps memory used";"2020-05-04T16:15:50+02:00";9692405760
"Total apps memory used";"2020-05-04T16:15:55+02:00";9706156032
"Total apps memory used";"2020-05-04T16:16:00+02:00";9699024896
"Total apps memory used";"2020-05-04T16:16:05+02:00";9686900736
"Total apps memory used";"2020-05-04T16:16:10+02:00";9696763904
"Total apps memory used";"2020-05-04T16:16:15+02:00";9675984896
"Total apps memory used";"2020-05-04T16:16:20+02:00";9701269504
"Total apps memory used";"2020-05-04T16:16:25+02:00";9693933568
"Total apps memory used";"2020-05-04T16:16:30+02:00";9716535296
"Total apps memory used";"2020-05-04T16:16:35+02:00";9717673984
"Total apps memory used";"2020-05-04T16:16:40+02:00";9711755264
"Total apps memory used";"2020-05-04T16:16:45+02:00";9707335680
"Total apps memory used";"2020-05-04T16:16:50+02:00";9723633664
"Total apps memory used";"2020-05-04T16:16:55+02:00";9712304128
"Total apps memory used";"2020-05-04T16:17:00+02:00";9695346688
"Total apps memory used";"2020-05-04T16:17:05+02:00";9705730048
"Total apps memory used";"2020-05-04T16:17:10+02:00";9699192832
"Total apps memory used";"2020-05-04T16:17:15+02:00";9709092864
"Total apps memory used";"2020-05-04T16:17:20+02:00";9700016128
"Total apps memory used";"2020-05-04T16:17:25+02:00";9720127488
"Total apps memory used";"2020-05-04T16:17:30+02:00";9704448000
"Total apps memory used";"2020-05-04T16:17:35+02:00";9701142528
"Total apps memory used";"2020-05-04T16:17:40+02:00";9721352192
"Total apps memory used";"2020-05-04T16:17:45+02:00";9718890496
"Total apps memory used";"2020-05-04T16:17:50+02:00";9751441408
"Total apps memory used";"2020-05-04T16:17:55+02:00";9743912960
"Total apps memory used";"2020-05-04T16:18:00+02:00";9759645696
"Total apps memory used";"2020-05-04T16:18:05+02:00";9738539008
"Total apps memory used";"2020-05-04T16:18:10+02:00";9756413952
"Total apps memory used";"2020-05-04T16:18:15+02:00";9747857408
"Total apps memory used";"2020-05-04T16:18:20+02:00";9746288640
"Total apps memory used";"2020-05-04T16:18:25+02:00";9741877248
"Total apps memory used";"2020-05-04T16:18:30+02:00";9757224960
"Total apps memory used";"2020-05-04T16:18:35+02:00";9748492288
"Total apps memory used";"2020-05-04T16:18:40+02:00";9753829376
"Total apps memory used";"2020-05-04T16:18:45+02:00";9743257600
"Total apps memory used";"2020-05-04T16:18:50+02:00";9764364288
"Total apps memory used";"2020-05-04T16:18:55+02:00";9744338944
"Total apps memory used";"2020-05-04T16:19:00+02:00";9761837056
"Total apps memory used";"2020-05-04T16:19:05+02:00";9764724736
"Total apps memory used";"2020-05-04T16:19:10+02:00";9748865024
"Total apps memory used";"2020-05-04T16:19:15+02:00";9742708736
"Total apps memory used";"2020-05-04T16:19:20+02:00";9737670656
"Total apps memory used";"2020-05-04T16:19:25+02:00";9753464832
"Total apps memory used";"2020-05-04T16:19:30+02:00";9758179328
"Total apps memory used";"2020-05-04T16:19:35+02:00";9757761536
"Total apps memory used";"2020-05-04T16:19:40+02:00";9793331200
"Total apps memory used";"2020-05-04T16:19:45+02:00";9756942336
"Total apps memory used";"2020-05-04T16:19:50+02:00";9762680832
"Total apps memory used";"2020-05-04T16:19:55+02:00";9782943744
"Total apps memory used";"2020-05-04T16:20:00+02:00";9777614848
"Total apps memory used";"2020-05-04T16:20:05+02:00";9754755072
"Total apps memory used";"2020-05-04T16:20:10+02:00";9764147200
"Total apps memory used";"2020-05-04T16:20:15+02:00";9750581248
"Total apps memory used";"2020-05-04T16:20:20+02:00";9764147200
"Total apps memory used";"2020-05-04T16:20:25+02:00";9767927808
"Total apps memory used";"2020-05-04T16:20:30+02:00";9760661504
"Total apps memory used";"2020-05-04T16:20:35+02:00";9762238464
"Total apps memory used";"2020-05-04T16:20:40+02:00";9748471808
"Total apps memory used";"2020-05-04T16:20:45+02:00";9752055808
"Total apps memory used";"2020-05-04T16:20:50+02:00";9772404736
"Total apps memory used";"2020-05-04T16:20:55+02:00";9766637568
"Total apps memory used";"2020-05-04T16:21:00+02:00";9777192960
"Total apps memory used";"2020-05-04T16:21:05+02:00";9756790784
"Total apps memory used";"2020-05-04T16:21:10+02:00";9764204544
"Total apps memory used";"2020-05-04T16:21:15+02:00";9766916096
"Total apps memory used";"2020-05-04T16:21:20+02:00";9761001472
"Total apps memory used";"2020-05-04T16:21:25+02:00";9760276480
"Total apps memory used";"2020-05-04T16:21:30+02:00";9746751488
"Total apps memory used";"2020-05-04T16:21:35+02:00";9757433856
"Total apps memory used";"2020-05-04T16:21:40+02:00";9775796224
"Total apps memory used";"2020-05-04T16:21:45+02:00";9755377664
"Total apps memory used";"2020-05-04T16:21:50+02:00";9766834176
"Total apps memory used";"2020-05-04T16:21:55+02:00";9748664320
"Total apps memory used";"2020-05-04T16:22:00+02:00";9769742336
