"Series";"Time";"Value"
"Total Network Transmitted";"2020-05-04T16:12:05+02:00";572250800.0599513
"Total Network Transmitted";"2020-05-04T16:12:10+02:00";574036972.1655006
"Total Network Transmitted";"2020-05-04T16:12:15+02:00";574205880.7111467
"Total Network Transmitted";"2020-05-04T16:12:20+02:00";573953441.6659068
"Total Network Transmitted";"2020-05-04T16:12:25+02:00";574900698.0250449
"Total Network Transmitted";"2020-05-04T16:12:30+02:00";576237778.2463319
"Total Network Transmitted";"2020-05-04T16:12:35+02:00";576257309.0504805
"Total Network Transmitted";"2020-05-04T16:12:40+02:00";573638943.1867173
"Total Network Transmitted";"2020-05-04T16:12:45+02:00";573851987.1322525
"Total Network Transmitted";"2020-05-04T16:12:50+02:00";566472696.7750484
"Total Network Transmitted";"2020-05-04T16:12:55+02:00";572433348.6784487
"Total Network Transmitted";"2020-05-04T16:13:00+02:00";570737469.0511295
"Total Network Transmitted";"2020-05-04T16:13:05+02:00";587289273.1165098
"Total Network Transmitted";"2020-05-04T16:13:10+02:00";580911652.6183126
"Total Network Transmitted";"2020-05-04T16:13:15+02:00";567571305.4335592
"Total Network Transmitted";"2020-05-04T16:13:20+02:00";571259423.5048065
"Total Network Transmitted";"2020-05-04T16:13:25+02:00";565804741.9313921
"Total Network Transmitted";"2020-05-04T16:13:30+02:00";578663010.1572455
"Total Network Transmitted";"2020-05-04T16:13:35+02:00";580586736.0000001
"Total Network Transmitted";"2020-05-04T16:13:40+02:00";571993417.7948409
"Total Network Transmitted";"2020-05-04T16:13:45+02:00";570954453.6257548
"Total Network Transmitted";"2020-05-04T16:13:50+02:00";564867905.3005259
"Total Network Transmitted";"2020-05-04T16:13:55+02:00";566177360
"Total Network Transmitted";"2020-05-04T16:14:00+02:00";570390389.4609356
"Total Network Transmitted";"2020-05-04T16:14:05+02:00";570966294.3348751
"Total Network Transmitted";"2020-05-04T16:14:10+02:00";574013340.1863625
"Total Network Transmitted";"2020-05-04T16:14:15+02:00";570015992.3633702
"Total Network Transmitted";"2020-05-04T16:14:20+02:00";574345835.0290146
"Total Network Transmitted";"2020-05-04T16:14:25+02:00";584192738.6620092
"Total Network Transmitted";"2020-05-04T16:14:30+02:00";568152508.5357238
"Total Network Transmitted";"2020-05-04T16:14:35+02:00";568452684.7334847
"Total Network Transmitted";"2020-05-04T16:14:40+02:00";568896555.613605
"Total Network Transmitted";"2020-05-04T16:14:45+02:00";580848212.8086385
"Total Network Transmitted";"2020-05-04T16:14:50+02:00";583649756.6477103
"Total Network Transmitted";"2020-05-04T16:14:55+02:00";571391828.7769506
"Total Network Transmitted";"2020-05-04T16:15:00+02:00";567060159.6045592
"Total Network Transmitted";"2020-05-04T16:15:05+02:00";573374819.5213445
"Total Network Transmitted";"2020-05-04T16:15:10+02:00";565372159.1070584
"Total Network Transmitted";"2020-05-04T16:15:15+02:00";575835846.8416885
"Total Network Transmitted";"2020-05-04T16:15:20+02:00";588347487.1233754
"Total Network Transmitted";"2020-05-04T16:15:25+02:00";565767085.3393043
"Total Network Transmitted";"2020-05-04T16:15:30+02:00";573443973.1352928
"Total Network Transmitted";"2020-05-04T16:15:35+02:00";580395984.6928957
"Total Network Transmitted";"2020-05-04T16:15:40+02:00";567733402.3227046
"Total Network Transmitted";"2020-05-04T16:15:45+02:00";585218486.4000001
"Total Network Transmitted";"2020-05-04T16:15:50+02:00";566520473.5999999
"Total Network Transmitted";"2020-05-04T16:15:55+02:00";567651582.9861228
"Total Network Transmitted";"2020-05-04T16:16:00+02:00";574425620.8028808
"Total Network Transmitted";"2020-05-04T16:16:05+02:00";568885856.4262516
"Total Network Transmitted";"2020-05-04T16:16:10+02:00";577526155.7355642
"Total Network Transmitted";"2020-05-04T16:16:15+02:00";577907411.1033686
"Total Network Transmitted";"2020-05-04T16:16:20+02:00";562515759.7953516
"Total Network Transmitted";"2020-05-04T16:16:25+02:00";562178374.2906756
"Total Network Transmitted";"2020-05-04T16:16:30+02:00";570515233.9266609
"Total Network Transmitted";"2020-05-04T16:16:35+02:00";571834908.6042384
"Total Network Transmitted";"2020-05-04T16:16:40+02:00";574314870.2046069
"Total Network Transmitted";"2020-05-04T16:16:45+02:00";569152092.8667066
"Total Network Transmitted";"2020-05-04T16:16:50+02:00";575116633.485097
"Total Network Transmitted";"2020-05-04T16:16:55+02:00";584307574.104942
"Total Network Transmitted";"2020-05-04T16:17:00+02:00";570461880.8072833
"Total Network Transmitted";"2020-05-04T16:17:05+02:00";577370896.9068046
"Total Network Transmitted";"2020-05-04T16:17:10+02:00";562728011.6312737
"Total Network Transmitted";"2020-05-04T16:17:15+02:00";568893300.7042854
"Total Network Transmitted";"2020-05-04T16:17:20+02:00";570989744.1590718
"Total Network Transmitted";"2020-05-04T16:17:25+02:00";583132012.8
"Total Network Transmitted";"2020-05-04T16:17:30+02:00";582824991.9999999
"Total Network Transmitted";"2020-05-04T16:17:35+02:00";572271922.0034392
"Total Network Transmitted";"2020-05-04T16:17:40+02:00";573771950.3999997
"Total Network Transmitted";"2020-05-04T16:17:45+02:00";570914134.7141973
"Total Network Transmitted";"2020-05-04T16:17:50+02:00";566093290.5023108
"Total Network Transmitted";"2020-05-04T16:17:55+02:00";560058475.396205
"Total Network Transmitted";"2020-05-04T16:18:00+02:00";568524890.8785914
"Total Network Transmitted";"2020-05-04T16:18:05+02:00";570135729.5999999
"Total Network Transmitted";"2020-05-04T16:18:10+02:00";577515056.5657016
"Total Network Transmitted";"2020-05-04T16:18:15+02:00";585319312.1051279
"Total Network Transmitted";"2020-05-04T16:18:20+02:00";575886886.6038456
"Total Network Transmitted";"2020-05-04T16:18:25+02:00";575012179.8900387
"Total Network Transmitted";"2020-05-04T16:18:30+02:00";565460500.2393733
"Total Network Transmitted";"2020-05-04T16:18:35+02:00";572634777.8223109
"Total Network Transmitted";"2020-05-04T16:18:40+02:00";564711708.3717544
"Total Network Transmitted";"2020-05-04T16:18:45+02:00";575865457.919424
"Total Network Transmitted";"2020-05-04T16:18:50+02:00";582773585.6
"Total Network Transmitted";"2020-05-04T16:18:55+02:00";571647311.133912
"Total Network Transmitted";"2020-05-04T16:19:00+02:00";560911429.6117904
"Total Network Transmitted";"2020-05-04T16:19:05+02:00";577926418.288502
"Total Network Transmitted";"2020-05-04T16:19:10+02:00";566195127.8979404
"Total Network Transmitted";"2020-05-04T16:19:15+02:00";564384619.0958976
"Total Network Transmitted";"2020-05-04T16:19:20+02:00";572850054.4160758
"Total Network Transmitted";"2020-05-04T16:19:25+02:00";573955693.9104711
"Total Network Transmitted";"2020-05-04T16:19:30+02:00";580179209.5116626
"Total Network Transmitted";"2020-05-04T16:19:35+02:00";575790377.8923843
"Total Network Transmitted";"2020-05-04T16:19:40+02:00";573053072.7331855
"Total Network Transmitted";"2020-05-04T16:19:45+02:00";579986239.1691265
"Total Network Transmitted";"2020-05-04T16:19:50+02:00";561516204.5345379
"Total Network Transmitted";"2020-05-04T16:19:55+02:00";567649564.7464136
"Total Network Transmitted";"2020-05-04T16:20:00+02:00";579833850.8208759
"Total Network Transmitted";"2020-05-04T16:20:05+02:00";576810934.4000002
"Total Network Transmitted";"2020-05-04T16:20:10+02:00";575816755.1999998
"Total Network Transmitted";"2020-05-04T16:20:15+02:00";567989450.3035778
"Total Network Transmitted";"2020-05-04T16:20:20+02:00";574249309.1940206
"Total Network Transmitted";"2020-05-04T16:20:25+02:00";573559576
"Total Network Transmitted";"2020-05-04T16:20:30+02:00";564994602.275751
"Total Network Transmitted";"2020-05-04T16:20:35+02:00";559086043.0272901
"Total Network Transmitted";"2020-05-04T16:20:40+02:00";580490072.142663
"Total Network Transmitted";"2020-05-04T16:20:45+02:00";562332564.0472304
"Total Network Transmitted";"2020-05-04T16:20:50+02:00";571464291.9584334
"Total Network Transmitted";"2020-05-04T16:20:55+02:00";567039895.5833752
"Total Network Transmitted";"2020-05-04T16:21:00+02:00";575256607.869786
"Total Network Transmitted";"2020-05-04T16:21:05+02:00";574436522.5985495
"Total Network Transmitted";"2020-05-04T16:21:10+02:00";568866891.3489565
"Total Network Transmitted";"2020-05-04T16:21:15+02:00";569247800.6092525
"Total Network Transmitted";"2020-05-04T16:21:20+02:00";572514543.731219
"Total Network Transmitted";"2020-05-04T16:21:25+02:00";575076302.0090382
"Total Network Transmitted";"2020-05-04T16:21:30+02:00";577425488.6043192
"Total Network Transmitted";"2020-05-04T16:21:35+02:00";578086413.6155168
"Total Network Transmitted";"2020-05-04T16:21:40+02:00";568042497.1838827
"Total Network Transmitted";"2020-05-04T16:21:45+02:00";566473783.8376349
"Total Network Transmitted";"2020-05-04T16:21:50+02:00";567588774.3855798
"Total Network Transmitted";"2020-05-04T16:21:55+02:00";575318697.1639272
"Total Network Transmitted";"2020-05-04T16:22:00+02:00";572298662.2812968
