"Series";"Time";"Value"
"CPU-Total";"2020-05-04T16:36:10+02:00";943.3533650672789
"CPU-Total";"2020-05-04T16:36:15+02:00";959.9892696069055
"CPU-Total";"2020-05-04T16:36:20+02:00";926.1333586158981
"CPU-Total";"2020-05-04T16:36:25+02:00";928.1219480668371
"CPU-Total";"2020-05-04T16:36:30+02:00";962.4441334120423
"CPU-Total";"2020-05-04T16:36:35+02:00";978.9444184573146
"CPU-Total";"2020-05-04T16:36:40+02:00";978.8949050136374
"CPU-Total";"2020-05-04T16:36:45+02:00";969.1758048040748
"CPU-Total";"2020-05-04T16:36:50+02:00";913.487265503621
"CPU-Total";"2020-05-04T16:36:55+02:00";954.2091897169664
"CPU-Total";"2020-05-04T16:37:00+02:00";973.9680941938332
"CPU-Total";"2020-05-04T16:37:05+02:00";1013.0991506975446
"CPU-Total";"2020-05-04T16:37:10+02:00";992.2810026152039
"CPU-Total";"2020-05-04T16:37:15+02:00";991.3515649147877
"CPU-Total";"2020-05-04T16:37:20+02:00";968.7698315814227
"CPU-Total";"2020-05-04T16:37:25+02:00";985.5172858997612
"CPU-Total";"2020-05-04T16:37:30+02:00";995.6516283624148
"CPU-Total";"2020-05-04T16:37:35+02:00";981.0449570296095
"CPU-Total";"2020-05-04T16:37:40+02:00";988.2348924316609
"CPU-Total";"2020-05-04T16:37:45+02:00";957.4101702833552
"CPU-Total";"2020-05-04T16:37:50+02:00";946.593136099045
"CPU-Total";"2020-05-04T16:37:55+02:00";981.2036176637479
"CPU-Total";"2020-05-04T16:38:00+02:00";988.1459264968832
"CPU-Total";"2020-05-04T16:38:05+02:00";983.5557329663727
"CPU-Total";"2020-05-04T16:38:10+02:00";982.6262306810662
"CPU-Total";"2020-05-04T16:38:15+02:00";970.887061900504
"CPU-Total";"2020-05-04T16:38:20+02:00";984.4802350585401
"CPU-Total";"2020-05-04T16:38:25+02:00";1009.6021629556932
"CPU-Total";"2020-05-04T16:38:30+02:00";1019.7157962640524
"CPU-Total";"2020-05-04T16:38:35+02:00";960.1630001095934
"CPU-Total";"2020-05-04T16:38:40+02:00";953.1199377053052
"CPU-Total";"2020-05-04T16:38:45+02:00";948.2330198555833
"CPU-Total";"2020-05-04T16:38:50+02:00";961.5115966949242
"CPU-Total";"2020-05-04T16:38:55+02:00";969.6249463706895
"CPU-Total";"2020-05-04T16:39:00+02:00";971.2248744880238
"CPU-Total";"2020-05-04T16:39:05+02:00";974.586117146681
"CPU-Total";"2020-05-04T16:39:10+02:00";971.4515577965125
"CPU-Total";"2020-05-04T16:39:15+02:00";957.7539638627675
"CPU-Total";"2020-05-04T16:39:20+02:00";977.7976328367696
"CPU-Total";"2020-05-04T16:39:25+02:00";978.3337891462064
"CPU-Total";"2020-05-04T16:39:30+02:00";962.246466936221
"CPU-Total";"2020-05-04T16:39:35+02:00";988.2820335493468
"CPU-Total";"2020-05-04T16:39:40+02:00";990.4130800431428
"CPU-Total";"2020-05-04T16:39:45+02:00";987.530692791101
"CPU-Total";"2020-05-04T16:39:50+02:00";956.1332781801772
"CPU-Total";"2020-05-04T16:39:55+02:00";975.7970655490233
"CPU-Total";"2020-05-04T16:40:00+02:00";958.8605850426351
"CPU-Total";"2020-05-04T16:40:05+02:00";981.1612248902028
"CPU-Total";"2020-05-04T16:40:10+02:00";988.9446707473631
"CPU-Total";"2020-05-04T16:40:15+02:00";973.0480965810008
"CPU-Total";"2020-05-04T16:40:20+02:00";974.9093103501485
"CPU-Total";"2020-05-04T16:40:25+02:00";987.322802507091
"CPU-Total";"2020-05-04T16:40:30+02:00";979.18814927914
"CPU-Total";"2020-05-04T16:40:35+02:00";978.7205250704646
"CPU-Total";"2020-05-04T16:40:40+02:00";983.1154634139056
"CPU-Total";"2020-05-04T16:40:45+02:00";990.4884275804227
"CPU-Total";"2020-05-04T16:40:50+02:00";974.3752360464805
"CPU-Total";"2020-05-04T16:40:55+02:00";966.4622586993255
"CPU-Total";"2020-05-04T16:41:00+02:00";965.7527154105518
"CPU-Total";"2020-05-04T16:41:05+02:00";973.2296825018315
"CPU-Total";"2020-05-04T16:41:10+02:00";976.2137901896427
"CPU-Total";"2020-05-04T16:41:15+02:00";983.8019974336154
"CPU-Total";"2020-05-04T16:41:20+02:00";969.1257075168435
"CPU-Total";"2020-05-04T16:41:25+02:00";976.3931026872766
"CPU-Total";"2020-05-04T16:41:30+02:00";983.3393994884188
"CPU-Total";"2020-05-04T16:41:35+02:00";966.1222547538463
"CPU-Total";"2020-05-04T16:41:40+02:00";960.2033511226836
"CPU-Total";"2020-05-04T16:41:45+02:00";965.6303580212523
"CPU-Total";"2020-05-04T16:41:50+02:00";980.3118443340503
"CPU-Total";"2020-05-04T16:41:55+02:00";997.7798310961866
"CPU-Total";"2020-05-04T16:42:00+02:00";976.1880223266606
"CPU-Total";"2020-05-04T16:42:05+02:00";965.4984089598715
"CPU-Total";"2020-05-04T16:42:10+02:00";983.5162934330821
"CPU-Total";"2020-05-04T16:42:15+02:00";991.6539991014351
"CPU-Total";"2020-05-04T16:42:20+02:00";978.5626543877827
"CPU-Total";"2020-05-04T16:42:25+02:00";995.412787790099
"CPU-Total";"2020-05-04T16:42:30+02:00";1002.9310111775661
"CPU-Total";"2020-05-04T16:42:35+02:00";991.5496888575781
"CPU-Total";"2020-05-04T16:42:40+02:00";947.4725157342973
"CPU-Total";"2020-05-04T16:42:45+02:00";959.1628423202327
"CPU-Total";"2020-05-04T16:42:50+02:00";965.8258618083902
"CPU-Total";"2020-05-04T16:42:55+02:00";974.8781651962396
"CPU-Total";"2020-05-04T16:43:00+02:00";1007.2878071167171
"CPU-Total";"2020-05-04T16:43:05+02:00";989.4018565554126
"CPU-Total";"2020-05-04T16:43:10+02:00";998.9486181312504
"CPU-Total";"2020-05-04T16:43:15+02:00";970.2739467745596
"CPU-Total";"2020-05-04T16:43:20+02:00";962.0725536226665
"CPU-Total";"2020-05-04T16:43:25+02:00";983.3289349017334
"CPU-Total";"2020-05-04T16:43:30+02:00";968.2437514108013
"CPU-Total";"2020-05-04T16:43:35+02:00";996.0267676102183
"CPU-Total";"2020-05-04T16:43:40+02:00";972.8852865324061
"CPU-Total";"2020-05-04T16:43:45+02:00";969.0009535641593
"CPU-Total";"2020-05-04T16:43:50+02:00";975.1185446062483
"CPU-Total";"2020-05-04T16:43:55+02:00";980.53247629542
"CPU-Total";"2020-05-04T16:44:00+02:00";971.5659216159601
"CPU-Total";"2020-05-04T16:44:05+02:00";966.5918276434221
"CPU-Total";"2020-05-04T16:44:10+02:00";976.7639587423316
"CPU-Total";"2020-05-04T16:44:15+02:00";965.7015638752351
"CPU-Total";"2020-05-04T16:44:20+02:00";963.2483353565856
"CPU-Total";"2020-05-04T16:44:25+02:00";981.2448011258753
"CPU-Total";"2020-05-04T16:44:30+02:00";942.771619687002
"CPU-Total";"2020-05-04T16:44:35+02:00";976.0992652962788
"CPU-Total";"2020-05-04T16:44:40+02:00";958.3582412449585
"CPU-Total";"2020-05-04T16:44:45+02:00";947.496551912854
"CPU-Total";"2020-05-04T16:44:50+02:00";938.293887605074
"CPU-Total";"2020-05-04T16:44:55+02:00";943.9144729530855
"CPU-Total";"2020-05-04T16:45:00+02:00";958.4263093515864
"CPU-Total";"2020-05-04T16:45:05+02:00";952.4206854247426
"CPU-Total";"2020-05-04T16:45:10+02:00";969.6434064856603
"CPU-Total";"2020-05-04T16:45:15+02:00";962.708836591121
"CPU-Total";"2020-05-04T16:45:20+02:00";960.8860889045297
"CPU-Total";"2020-05-04T16:45:25+02:00";973.5124031888427
"CPU-Total";"2020-05-04T16:45:30+02:00";959.6159294739701
"CPU-Total";"2020-05-04T16:45:35+02:00";956.1672868322719
"CPU-Total";"2020-05-04T16:45:40+02:00";970.6872693901591
"CPU-Total";"2020-05-04T16:45:45+02:00";958.3081370490952
"CPU-Total";"2020-05-04T16:45:50+02:00";914.9483174122654
"CPU-Total";"2020-05-04T16:45:55+02:00";974.4901172772718
"CPU-Total";"2020-05-04T16:46:00+02:00";992.4787055314894
"CPU-Total";"2020-05-04T16:46:05+02:00";976.2845128108404
