timeStamp,elapsed,label,success,Latency
1588600377440,154,Home,true,145
1588600377441,151,Home,true,144
1588600377511,84,Home,true,72
1588600377607,55,Home,true,47
1588600377707,49,Home,true,48
1588600377907,42,Home,true,42
1588600377807,144,Home,true,144
1588600378009,59,Home,true,59
1588600378108,178,Home,true,178
1588600378206,80,Home,true,80
1588600378308,69,Home,true,69
1588600378611,54,Home,true,54
1588600378507,166,Home,true,165
1588600378406,267,Home,true,266
1588600378709,32,Home,true,32
1588600378809,37,Home,true,37
1588600378911,50,Home,true,50
1588600379006,122,Home,true,121
1588600379107,47,Home,true,47
1588600379208,146,Home,true,146
1588600377906,1675,Login,true,1594
1588600377602,1980,Login,true,1911
1588600378810,787,Login,true,697
1588600377618,1986,Login,true,1896
1588600378208,1405,Login,true,1313
1588600379306,311,Login,true,194
1588600379110,509,Login,true,393
1588600377711,1917,Login,true,1788
1588600378106,1533,Login,true,1412
1588600378405,1241,Login,true,1099
1588600378507,1141,Login,true,1015
1588600378707,945,Login,true,810
1588600377806,1850,Login,true,1713
1588600378908,751,Login,true,592
1588600378307,1356,Login,true,1209
1588600379408,257,Login,true,96
1588600378008,1659,Login,true,1498
1588600378675,992,Login,true,832
1588600379205,465,Login,true,310
1588600379008,674,Login,true,500
1588600379621,172,List Products,true,166
1588600379684,746,List Products,true,740
1588600379666,792,List Products,true,786
1588600379629,1135,List Products,true,1131
1588600379671,1115,List Products,true,1111
1588600379618,1240,List Products,true,1236
1588600379614,1273,List Products,true,1263
1588600379653,1238,List Products,true,1229
1588600379640,1289,List Products,true,1284
1588600379664,1307,List Products,true,1301
1588600379660,1329,List Products,true,1322
1588600379669,1766,List Products,true,1762
1588600379605,2136,List Products,true,2131
1588600379584,2173,List Products,true,2168
1588600379649,2319,List Products,true,2314
1588600379647,2422,List Products,true,2418
1588600379599,2478,List Products,true,2465
1588600379583,2600,List Products,true,2585
1588600379669,2515,List Products,true,2502
1588600379657,2564,List Products,true,2546
1588600380861,1780,Look at Product,true,1771
1588600379821,2821,Look at Product,true,2813
1588600382223,424,Look at Product,true,414
1588600381744,905,Look at Product,true,903
1588600381437,1213,Look at Product,true,1194
1588600380889,1763,Look at Product,true,1747
1588600382071,582,Look at Product,true,581
1588600380435,2220,Look at Product,true,2200
1588600380766,1889,Look at Product,true,1869
1588600380789,1867,Look at Product,true,1858
1588600382079,579,Look at Product,true,557
1588600381760,898,Look at Product,true,884
1588600380894,1767,Look at Product,true,1743
1588600381971,691,Look at Product,true,666
1588600382185,477,Look at Product,true,461
1588600380991,1672,Look at Product,true,1642
1588600380931,1736,Look at Product,true,1700
1588600382186,485,Look at Product,true,457
1588600380460,2211,Look at Product,true,2174
1588600380974,1699,Look at Product,true,1662
1588600382662,1639,Add Product to Cart,true,331
1588600382651,1651,Add Product to Cart,true,267
1588600382656,1647,Add Product to Cart,true,301
1588600382642,1662,Add Product to Cart,true,329
1588600382643,1664,Add Product to Cart,true,340
1588600382654,1655,Add Product to Cart,true,343
1588600382664,1646,Add Product to Cart,true,293
1588600382662,1649,Add Product to Cart,true,336
1588600382659,1654,Add Product to Cart,true,288
1588600382672,1642,Add Product to Cart,true,297
1588600382672,1645,Add Product to Cart,true,243
1588600382650,1669,Add Product to Cart,true,322
1588600382658,1663,Add Product to Cart,true,293
1588600382652,1669,Add Product to Cart,true,299
1588600382662,1660,Add Product to Cart,true,254
1588600382649,1674,Add Product to Cart,true,342
1588600382668,1658,Add Product to Cart,true,284
1588600382657,1670,Add Product to Cart,true,302
1588600382659,1671,Add Product to Cart,true,301
1588600382674,1656,Add Product to Cart,true,320
1588600384323,203,List Products with different page,true,198
1588600384331,217,List Products with different page,true,213
1588600384305,266,List Products with different page,true,260
1588600384550,129,Add Product 2 to Cart,true,24
1588600384573,125,Add Product 2 to Cart,true,20
1588600384528,242,Add Product 2 to Cart,true,41
1588600384750,46,Logout,true,15
1588600384773,61,Logout,true,11
1588600384771,72,Logout,true,11
1588600384950,26,Home,true,26
1588600384973,19,Home,true,19
1588600384971,21,Home,true,21
1588600385150,77,Login,true,27
1588600385173,66,Login,true,30
1588600385171,68,Login,true,29
1588600384331,1004,List Products with different page,true,1001
1588600385371,84,List Products,true,80
1588600385373,86,List Products,true,77
1588600385337,142,Add Product 2 to Cart,true,22
1588600385350,135,List Products,true,131
1588600384327,1187,List Products with different page,true,1183
1588600384311,1204,List Products with different page,true,1199
1588600384303,1229,List Products with different page,true,1225
1588600384313,1239,List Products with different page,true,1232
1588600384318,1263,List Products with different page,true,1259
1588600385537,53,Logout,true,12
1588600384314,1277,List Products with different page,true,1273
1588600384308,1307,List Products with different page,true,1304
1588600385516,145,Add Product 2 to Cart,true,19
1588600384320,1349,List Products with different page,true,1346
1588600385517,160,Add Product 2 to Cart,true,18
1588600384310,1368,List Products with different page,true,1359
1588600385534,151,Add Product 2 to Cart,true,21
1588600385555,152,Add Product 2 to Cart,true,29
1588600385571,141,Look at Product,true,137
